          #r                      g1                      g12
  0.7045920000000000E+00  0.9140063786733421E-01  0.5560570518328885E-01
  0.7085840000000000E+00  0.8951378671159678E-01  0.5492925882521682E-01
  0.7125760000000000E+00  0.8766692074462679E-01  0.5425951609415117E-01
  0.7165680000000000E+00  0.8585917464088055E-01  0.5359645245117228E-01
  0.7205600000000000E+00  0.8408970229934631E-01  0.5294004232997166E-01
  0.7245520000000000E+00  0.8235767639769165E-01  0.5229025917195607E-01
  0.7285440000000000E+00  0.8066228796539754E-01  0.5164707546218938E-01
  0.7325360000000000E+00  0.7900274595747774E-01  0.5101046276250217E-01
  0.7365280000000000E+00  0.7737827684518302E-01  0.5038039174624635E-01
  0.7405200000000000E+00  0.7578812421876613E-01  0.4975683222957687E-01
  0.7445120000000000E+00  0.7423154839278734E-01  0.4913975320548639E-01
  0.7485039999999999E+00  0.7270782602724069E-01  0.4852912287455643E-01
  0.7524960000000001E+00  0.7121624975699199E-01  0.4792490867591740E-01
  0.7564880000000000E+00  0.6975612782741199E-01  0.4732707731798177E-01
  0.7604800000000000E+00  0.6832678374275740E-01  0.4673559480767834E-01
  0.7644720000000000E+00  0.6692755591990422E-01  0.4615042648086239E-01
  0.7684640000000000E+00  0.6555779735155405E-01  0.4557153702861990E-01
  0.7724560000000000E+00  0.6421687527959019E-01  0.4499889052779574E-01
  0.7764480000000000E+00  0.6290417087098159E-01  0.4443245046642522E-01
  0.7804400000000000E+00  0.6161907890680703E-01  0.4387217977113374E-01
  0.7844320000000000E+00  0.6036100747420470E-01  0.4331804083353378E-01
  0.7884240000000000E+00  0.5912937766986529E-01  0.4276999553562266E-01
  0.7924160000000000E+00  0.5792362330624901E-01  0.4222800527410708E-01
  0.7964080000000000E+00  0.5674319062743353E-01  0.4169203098667337E-01
  0.8004000000000000E+00  0.5558753802919547E-01  0.4116203317415460E-01
  0.8043920000000000E+00  0.5445613578867192E-01  0.4063797192428590E-01
  0.8083840000000000E+00  0.5334846579635914E-01  0.4011980693490239E-01
  0.8123760000000000E+00  0.5226402129799901E-01  0.3960749753613987E-01
  0.8163680000000000E+00  0.5120230664031725E-01  0.3910100271223301E-01
  0.8203600000000000E+00  0.5016283701999166E-01  0.3860028112213006E-01
  0.8243520000000000E+00  0.4914513824671177E-01  0.3810529112098730E-01
  0.8283440000000000E+00  0.4814874649891129E-01  0.3761599078001480E-01
  0.8323360000000000E+00  0.4717320809868841E-01  0.3713233790615270E-01
  0.8363280000000000E+00  0.4621807927986173E-01  0.3665429006116794E-01
  0.8403200000000000E+00  0.4528292597111309E-01  0.3618180458101931E-01
  0.8443120000000000E+00  0.4436732357598169E-01  0.3571483859333583E-01
  0.8483039999999999E+00  0.4347085676154613E-01  0.3525334903528673E-01
  0.8522960000000001E+00  0.4259311925481250E-01  0.3479729267162209E-01
  0.8562880000000000E+00  0.4173371363580092E-01  0.3434662611046072E-01
  0.8602800000000000E+00  0.4089225114260886E-01  0.3390130582071101E-01
  0.8642720000000000E+00  0.4006835147824198E-01  0.3346128814718326E-01
  0.8682640000000000E+00  0.3926164262050813E-01  0.3302652932659397E-01
  0.8722560000000000E+00  0.3847176063700486E-01  0.3259698550280706E-01
  0.8762480000000000E+00  0.3769834950574532E-01  0.3217261274089796E-01
  0.8802400000000000E+00  0.3694106093849955E-01  0.3175336704184817E-01
  0.8842320000000000E+00  0.3619955420616083E-01  0.3133920435667144E-01
  0.8882240000000000E+00  0.3547349597240309E-01  0.3093008059924755E-01
  0.8922160000000000E+00  0.3476256012777279E-01  0.3052595165977164E-01
  0.8962080000000000E+00  0.3406642762795172E-01  0.3012677341739615E-01
  0.9002000000000000E+00  0.3338478633712386E-01  0.2973250175267935E-01
  0.9041920000000000E+00  0.3271733087301495E-01  0.2934309255910872E-01
  0.9081840000000000E+00  0.3206376245618170E-01  0.2895850175523688E-01
  0.9121760000000000E+00  0.3142378876416915E-01  0.2857868529530213E-01
  0.9161680000000000E+00  0.3079712378528591E-01  0.2820359918084048E-01
  0.9201600000000000E+00  0.3018348768003287E-01  0.2783319947070447E-01
  0.9241520000000000E+00  0.2958260664329100E-01  0.2746744229143013E-01
  0.9281440000000000E+00  0.2899421276750728E-01  0.2710628384704084E-01
  0.9321360000000000E+00  0.2841804391460867E-01  0.2674968042870581E-01
  0.9361280000000000E+00  0.2785384358680535E-01  0.2639758842388806E-01
  0.9401200000000000E+00  0.2730136079908974E-01  0.2604996432598927E-01
  0.9441120000000000E+00  0.2676034995878081E-01  0.2570676474138045E-01
  0.9481039999999999E+00  0.2623057074555983E-01  0.2536794639954746E-01
  0.9520960000000001E+00  0.2571178799230115E-01  0.2503346615999558E-01
  0.9560880000000000E+00  0.2520377157324442E-01  0.2470328102081136E-01
  0.9600800000000000E+00  0.2470629629089993E-01  0.2437734812560481E-01
  0.9640720000000000E+00  0.2421914176576149E-01  0.2405562477067417E-01
  0.9680640000000000E+00  0.2374209233179725E-01  0.2373806841251088E-01
  0.9720560000000000E+00  0.2327493693011825E-01  0.2342463667454364E-01
  0.9760480000000000E+00  0.2281746900763126E-01  0.2311528735295957E-01
  0.9800400000000000E+00  0.2236948641752064E-01  0.2280997842376979E-01
  0.9840320000000000E+00  0.2193079132157368E-01  0.2250866804795078E-01
  0.9880240000000000E+00  0.2150119009550703E-01  0.2221131457777137E-01
  0.9920160000000000E+00  0.2108049323475266E-01  0.2191787656244444E-01
  0.9960080000000000E+00  0.2066851526563525E-01  0.2162831275325357E-01
  0.1000000000000000E+01  0.2026507465401213E-01  0.2134258210816735E-01
  0.1026491680839000E+01  0.1779150103100887E-01  0.1954058634402693E-01
  0.1056786161003000E+01  0.1535349006003887E-01  0.1766967789308471E-01
  0.1088703936712000E+01  0.1317108045132191E-01  0.1589994742946247E-01
  0.1121723800805000E+01  0.1126659995601513E-01  0.1426729128099210E-01
  0.1155588150741000E+01  0.9627629549882444E-02  0.1278234564574225E-01
  0.1190141050780000E+01  0.8230258245115364E-02  0.1144513760899568E-01
  0.1225277261537000E+01  0.7047158792099291E-02  0.1025029928972380E-01
  0.1260920678924000E+01  0.6051057346563434E-02  0.9189554255955393E-02
  0.1297013558176000E+01  0.5216318997155467E-02  0.8253103036804488E-02
  0.1333510502098000E+01  0.4519637510315293E-02  0.7430467132886605E-02
  0.1370374832331000E+01  0.3940264744223043E-02  0.6711028631602538E-02
  0.1407576264730000E+01  0.3459996246694167E-02  0.6084381956322456E-02
  0.1445089349019000E+01  0.3063029357087577E-02  0.5540561934561955E-02
  0.1482892381256000E+01  0.2735759347219332E-02  0.5070186900952391E-02
  0.1520966621941000E+01  0.2466551418622139E-02  0.4664541923441080E-02
  0.1559295718995000E+01  0.2245510424476479E-02  0.4315619328613536E-02
  0.1597865272400000E+01  0.2064260669455013E-02  0.4016128762063679E-02
  0.1636662499333000E+01  0.1915742327077511E-02  0.3759485729375197E-02
  0.1675675972292000E+01  0.1794027445341110E-02  0.3539785278584210E-02
  0.1714895411252000E+01  0.1694156323035489E-02  0.3351765807275938E-02
  0.1754311516553000E+01  0.1611993739854397E-02  0.3190766741443881E-02
  0.1793915832968000E+01  0.1544103784731724E-02  0.3052682883767421E-02
  0.1833700637965000E+01  0.1487641657734999E-02  0.2933917503413449E-02
  0.1873658848995000E+01  0.1440260676126644E-02  0.2831335681032887E-02
  0.1913783945901000E+01  0.1400032719216330E-02  0.2742218984659872E-02
  0.1954069905471000E+01  0.1365380430413824E-02  0.2664222222822347E-02
  0.1994511145848000E+01  0.1335019624785327E-02  0.2595332759102324E-02
  0.2035102478983000E+01  0.1307910504543523E-02  0.2533832678091467E-02
  0.2075839069744000E+01  0.1283216436695008E-02  0.2478263944742543E-02
  0.2116716400526000E+01  0.1260269201169635E-02  0.2427396585402882E-02
  0.2157730240489000E+01  0.1238539756328131E-02  0.2380199840376462E-02
  0.2198876618659000E+01  0.1217613697208630E-02  0.2335816179200219E-02
  0.2240151800332000E+01  0.1197170695966957E-02  0.2293538030200307E-02
  0.2281552266261000E+01  0.1176967314401848E-02  0.2252787051168418E-02
  0.2323074694242000E+01  0.1156822666262954E-02  0.2213095753538008E-02
  0.2364715942755000E+01  0.1136606483903328E-02  0.2174091287398058E-02
  0.2406473036380000E+01  0.1116229209543518E-02  0.2135481193899502E-02
  0.2448343152753000E+01  0.1095633788375988E-02  0.2097040938350077E-02
  0.2490323610866000E+01  0.1074788889877748E-02  0.2058603043218865E-02
  0.2532411860537000E+01  0.1053683325323203E-02  0.2020047653283572E-02
  0.2574605472910000E+01  0.1032321465474856E-02  0.1981294374752381E-02
  0.2616902131854000E+01  0.1010719492984452E-02  0.1942295242785728E-02
  0.2659299626176000E+01  0.9889023500393168E-03  0.1903028685516404E-02
  0.2701795842525000E+01  0.9669012640233787E-03  0.1863494363473060E-02
  0.2744388758938000E+01  0.9447517526114576E-03  0.1823708775660247E-02
  0.2787076438941000E+01  0.9224920257607285E-03  0.1783701535190132E-02
  0.2829857026150000E+01  0.9001617154061892E-03  0.1743512227104976E-02
  0.2872728739326000E+01  0.8778008750634179E-03  0.1703187770962890E-02
  0.2915689867825000E+01  0.8554492011142353E-03  0.1662780220053682E-02
  0.2958738767416000E+01  0.8331454355499368E-03  0.1622344936465107E-02
  0.3001873856427000E+01  0.8109269167286964E-03  0.1581939089072222E-02
  0.3045093612177000E+01  0.7888292503821434E-03  0.1541620428008220E-02
  0.3088396567689000E+01  0.7668860778144368E-03  0.1501446294718318E-02
  0.3131781308633000E+01  0.7451289222549992E-03  0.1461472832426721E-02
  0.3175246470497000E+01  0.7235870976097838E-03  0.1421754366217678E-02
  0.3218790735959000E+01  0.7022876666522559E-03  0.1382342925954437E-02
  0.3262412832440000E+01  0.6812554379941027E-03  0.1343287889280694E-02
  0.3306111529822000E+01  0.6605129931151685E-03  0.1304635724734102E-02
  0.3349885638326000E+01  0.6400807363194858E-03  0.1266429817988944E-02
  0.3393734006526000E+01  0.6199769618270105E-03  0.1228710366801560E-02
  0.3437655519494000E+01  0.6002179333134215E-03  0.1191514332100750E-02
  0.3481649097063000E+01  0.5808179721234954E-03  0.1154875434752065E-02
  0.3525713692196000E+01  0.5617895511404360E-03  0.1118824189034659E-02
  0.3569848289467000E+01  0.5431433919108162E-03  0.1083387965263714E-02
  0.3614051903620000E+01  0.5248885631524905E-03  0.1048591075239587E-02
  0.3658323578224000E+01  0.5070325791714814E-03  0.1014454875146377E-02
  0.3702662384408000E+01  0.4895814970689328E-03  0.9809978815227955E-03
  0.3747067419663000E+01  0.4725400118970018E-03  0.9482358965943379E-03
  0.3791537806719000E+01  0.4559115491373176E-03  0.9161821399049364E-03
  0.3836072692483000E+01  0.4396983540646004E-03  0.8848473838084613E-03
  0.3880671247037000E+01  0.4239015776954355E-03  0.8542400907526759E-03
  0.3925332662690000E+01  0.4085213591377104E-03  0.8243665507016938E-03
  0.3970056153079000E+01  0.3935569042422799E-03  0.7952310174400521E-03
  0.4014840952329000E+01  0.3790065605222654E-03  0.7668358426379650E-03
  0.4059686314240000E+01  0.3648678883697971E-03  0.7391816069349770E-03
  0.4104591511533000E+01  0.3511377286166163E-03  0.7122672473780598E-03
  0.4149555835123000E+01  0.3378122665333479E-03  0.6860901807562875E-03
  0.4194578593435000E+01  0.3248870923652765E-03  0.6606464224941669E-03
  0.4239659111753000E+01  0.3123572585231383E-03  0.6359307008683975E-03
  0.4284796731600000E+01  0.3002173335518826E-03  0.6119365663972502E-03
  0.4329990810147000E+01  0.2884614530037136E-03  0.5886564963218195E-03
  0.4375240719658000E+01  0.2770833673399054E-03  0.5660819941511172E-03
  0.4420545846947000E+01  0.2660764869924065E-03  0.5442036842989009E-03
  0.4465905592879000E+01  0.2554339246988395E-03  0.5230114018459566E-03
  0.4511319371877000E+01  0.2451485352384912E-03  0.5024942775309036E-03
  0.4556786611463000E+01  0.2352129526759479E-03  0.4826408180503091E-03
  0.4602306751816000E+01  0.2256196252257092E-03  0.4634389817941027E-03
  0.4647879245346000E+01  0.2163608478422573E-03  0.4448762501433909E-03
  0.4693503556296000E+01  0.2074287926332048E-03  0.4269396944613646E-03
  0.4739179160353000E+01  0.1988155371953608E-03  0.4096160389267351E-03
  0.4784905544280000E+01  0.1905130909630926E-03  0.3928917193499489E-03
  0.4830682205562000E+01  0.1825134196587063E-03  0.3767529381223529E-03
  0.4876508652067000E+01  0.1748084679296410E-03  0.3611857154467670E-03
  0.4922384401727000E+01  0.1673901802536999E-03  0.3461759369958691E-03
  0.4968308982220000E+01  0.1602505201948322E-03  0.3317093981534773E-03
  0.5014281930677000E+01  0.1533814880822594E-03  0.3177718449750655E-03
  0.5060302793397000E+01  0.1467751371905058E-03  0.3043490120193167E-03
  0.5106371125568000E+01  0.1404235884930138E-03  0.2914266571924613E-03
  0.5152486491010000E+01  0.1343190440576876E-03  0.2789905937403436E-03
  0.5198648461916000E+01  0.1284537991566387E-03  0.2670267195323698E-03
  0.5244856618613000E+01  0.1228202531541401E-03  0.2555210437647435E-03
  0.5291110549327000E+01  0.1174109192404090E-03  0.2444597112187970E-03
  0.5337409849959000E+01  0.1122184330740008E-03  0.2338290242000212E-03
  0.5383754123869000E+01  0.1072355603953012E-03  0.2236154622831791E-03
  0.5430142981663000E+01  0.1024552036720012E-03  0.2138056999857055E-03
  0.5476576041002000E+01  0.9787040783329567E-04  0.2043866224830080E-03
  0.5523052926401000E+01  0.9347436515317547E-04  0.1953453394869060E-03
  0.5569573269047000E+01  0.8926041933496113E-04  0.1866691973914685E-03
  0.5616136706617000E+01  0.8522206885245471E-04  0.1783457897973442E-03
  0.5662742883108000E+01  0.8135296959813598E-04  0.1703629665156871E-03
  0.5709391448671000E+01  0.7764693688887992E-04  0.1627088411528438E-03
  0.5756082059445000E+01  0.7409794687723494E-04  0.1553717973723989E-03
  0.5802814377408000E+01  0.7070013741280247E-04  0.1483404939240456E-03
  0.5849588070221000E+01  0.6744780839953586E-04  0.1416038685317725E-03
  0.5896402811091000E+01  0.6433542168896696E-04  0.1351511407221271E-03
  0.5943258278624000E+01  0.6135760055147318E-04  0.1289718136780395E-03
  0.5990154156692000E+01  0.5850912876190454E-04  0.1230556751920525E-03
  0.6037090134305000E+01  0.5578494933639317E-04  0.1173927977942243E-03
  0.6084065905483000E+01  0.5318016295480496E-04  0.1119735381254642E-03
  0.6131081169131000E+01  0.5069002610089831E-04  0.1067885356224632E-03
  0.6178135628925000E+01  0.4830994895021599E-04  0.1018287105765260E-03
  0.6225228993198000E+01  0.4603549303495232E-04  0.9708526162736067E-04
  0.6272360974825000E+01  0.4386236871260920E-04  0.9254966274817712E-04
  0.6319531291118000E+01  0.4178643246300902E-04  0.8821365977410062E-04
  0.6366739663724000E+01  0.3980368403747433E-04  0.8406926652466448E-04
  0.6413985818521000E+01  0.3791026348217523E-04  0.8010876056764887E-04
  0.6461269485525000E+01  0.3610244805534532E-04  0.7632467866701597E-04
  0.6508590398791000E+01  0.3437664905782907E-04  0.7270981195744176E-04
  0.6555948296322000E+01  0.3272940859370030E-04  0.6925720088247221E-04
  0.6603342919984000E+01  0.3115739627703811E-04  0.6596012993216354E-04
  0.6650774015417000E+01  0.2965740589985701E-04  0.6281212221395656E-04
  0.6698241331950000E+01  0.2822635207430058E-04  0.5980693388673297E-04
  0.6745744622523000E+01  0.2686126686127576E-04  0.5693854848616580E-04
  0.6793283643606000E+01  0.2555929639697639E-04  0.5420117116805152E-04
  0.6840858155125000E+01  0.2431769752707820E-04  0.5158922289289470E-04
  0.6888467920385000E+01  0.2313383445799822E-04  0.4909733457425486E-04
  0.6936112705998000E+01  0.2200517543317251E-04  0.4672034121038195E-04
  0.6983792281816000E+01  0.2092928944169461E-04  0.4445327601740631E-04
  0.7031506420860000E+01  0.1990384296603751E-04  0.4229136458104544E-04
  0.7079254899255000E+01  0.1892659677437014E-04  0.4023001904123886E-04
  0.7127037496165000E+01  0.1799540276266993E-04  0.3826483232344506E-04
  0.7174853993732000E+01  0.1710820085095267E-04  0.3639157242844614E-04
  0.7222704177013000E+01  0.1626301593754042E-04  0.3460617679162070E-04
  0.7270587833923000E+01  0.1545795491446110E-04  0.3290474672084954E-04
  0.7318504755175000E+01  0.1469120374688133E-04  0.3128354192174978E-04
  0.7366454734226000E+01  0.1396102461867484E-04  0.2973897511718384E-04
  0.7414437567223000E+01  0.1326575314606745E-04  0.2826760676757515E-04
  0.7462453052947000E+01  0.1260379566081106E-04  0.2686613989745444E-04
  0.7510500992765000E+01  0.1197362656381743E-04  0.2553141503247833E-04
  0.7558581190576000E+01  0.1137378575019897E-04  0.2426040525111491E-04
  0.7606693452764000E+01  0.1080287610598100E-04  0.2305021135366239E-04
  0.7654837588152000E+01  0.1025956107675638E-04  0.2189805715119547E-04
  0.7703013407952000E+01  0.9742562308268657E-05  0.2080128487634639E-04
  0.7751220725721000E+01  0.9250657358524955E-05  0.1975735071692559E-04
  0.7799459357318000E+01  0.8782677481028488E-05  0.1876382047327963E-04
  0.7847729120860000E+01  0.8337505478500092E-05  0.1781836533973176E-04
  0.7896029836678000E+01  0.7914073626272513E-05  0.1691875780997488E-04
  0.7944361327281000E+01  0.7511361664354098E-05  0.1606286770580844E-04
  0.7992723417312000E+01  0.7128394857253383E-05  0.1524865832873408E-04
  0.8041115933508999E+01  0.6764242120287922E-05  0.1447418273306611E-04
  0.8089538704670000E+01  0.6418014211153984E-05  0.1373758011925134E-04
  0.8137991561612001E+01  0.6088861985514071E-05  0.1303707234598044E-04
  0.8186474337138000E+01  0.5775974715118015E-05  0.1237096055908951E-04
  0.8234986866002000E+01  0.5478578467103979E-05  0.1173762193546249E-04
  0.8283528984870999E+01  0.5195934543006586E-05  0.1113550653982816E-04
  0.8332100532294000E+01  0.4927337975906626E-05  0.1056313429208553E-04
  0.8380701348668000E+01  0.4672116084258722E-05  0.1001909204295167E-04
  0.8429331276208000E+01  0.4429627080811457E-05  0.9502030755408934E-05
  0.8477990158912000E+01  0.4199258735113603E-05  0.9010662789545481E-05
  0.8526677842534999E+01  0.3980427087977903E-05  0.8543759288071722E-05
  0.8575394174554001E+01  0.3772575216435639E-05  0.8100147660091809E-05
  0.8624139004142000E+01  0.3575172047546862E-05  0.7678709160305657E-05
  0.8672912182138001E+01  0.3387711219589679E-05  0.7278376561111761E-05
  0.8721713561022000E+01  0.3209709989066927E-05  0.6898131914858978E-05
  0.8770542994884000E+01  0.3040708182067985E-05  0.6537004403669559E-05
  0.8819400339396999E+01  0.2880267188461169E-05  0.6194068274086686E-05
  0.8868285451794000E+01  0.2727968997461081E-05  0.5868440853912172E-05
  0.8917198190842999E+01  0.2583415273156976E-05  0.5559280648658293E-05
  0.8966138416814999E+01  0.2446226468605783E-05  0.5265785515043885E-05
  0.9015105991470000E+01  0.2316040977039405E-05  0.4987190908822235E-05
  0.9064100778025001E+01  0.2192514318944703E-05  0.4722768204647373E-05
  0.9113122641131000E+01  0.2075318363619495E-05  0.4471823085329118E-05
  0.9162171446858000E+01  0.1964140583931282E-05  0.4233693998068123E-05
  0.9211247062662000E+01  0.1858683343088788E-05  0.4007750675418199E-05
  0.9260349357370000E+01  0.1758663212122547E-05  0.3793392718459556E-05
  0.9309478201156001E+01  0.1663810316956124E-05  0.3590048240043971E-05
  0.9358633465522001E+01  0.1573867713886330E-05  0.3397172565819808E-05
  0.9407815023274001E+01  0.1488590792377178E-05  0.3214246990913107E-05
  0.9457022748506001E+01  0.1407746704061817E-05  0.3040777590102651E-05
  0.9506256516575000E+01  0.1331113816935125E-05  0.2876294079502282E-05
  0.9555516204088001E+01  0.1258481193686964E-05  0.2720348727679417E-05
  0.9604801688877000E+01  0.1189648093233957E-05  0.2572515314358108E-05
  0.9654112849986999E+01  0.1124423494462294E-05  0.2432388134744917E-05
  0.9703449567649001E+01  0.1062625641305776E-05  0.2299581047745260E-05
  0.9752811723272000E+01  0.1004081608227541E-05  0.2173726566207344E-05
  0.9802199199419000E+01  0.9486268852986410E-06  0.2054474987589037E-05
  0.9851611879789999E+01  0.8961049820190077E-06  0.1941493563331844E-05
  0.9901049649209000E+01  0.8463670490931886E-06  0.1834465705361153E-05
  0.9950512393606999E+01  0.7992715174052211E-06  0.1733090228192818E-05
  0.1000000000000000E+02  0.7546837534556555E-06  0.1637080625159126E-05
  0.1005000000000000E+02  0.7120715522886051E-06  0.1545293623839104E-05
  0.1010000000000000E+02  0.6717805467980173E-06  0.1458476360025610E-05
  0.1015000000000000E+02  0.6336883216119548E-06  0.1376368081350885E-05
  0.1020000000000000E+02  0.5976787509188836E-06  0.1298721368945955E-05
  0.1025000000000000E+02  0.5636416812305958E-06  0.1225301468749214E-05
  0.1030000000000000E+02  0.5314726299261010E-06  0.1155885655781766E-05
  0.1035000000000000E+02  0.5010724988069845E-06  0.1090262629806981E-05
  0.1040000000000000E+02  0.4723473019305333E-06  0.1028231940863491E-05
  0.1045000000000000E+02  0.4452079070212872E-06  0.9696034432294920E-06
  0.1050000000000000E+02  0.4195697897945411E-06  0.9141967764422785E-06
  0.1055000000000000E+02  0.3953528005568133E-06  0.8618408720603753E-06
  0.1060000000000000E+02  0.3724809424784117E-06  0.8123734849162937E-06
  0.1065000000000000E+02  0.3508821609620451E-06  0.7656407476662928E-06
  0.1070000000000000E+02  0.3304881435589808E-06  0.7214967474992938E-06
  0.1075000000000000E+02  0.3112341299105581E-06  0.6798031239205335E-06
  0.1080000000000000E+02  0.2930587312180734E-06  0.6404286865768013E-06
  0.1085000000000000E+02  0.2759037587680154E-06  0.6032490521389227E-06
  0.1090000000000000E+02  0.2597140610626245E-06  0.5681462993041251E-06
  0.1095000000000000E+02  0.2444373691276205E-06  0.5350086410255993E-06
  0.1100000000000000E+02  0.2300241495898349E-06  0.5037301131193702E-06
  0.1105000000000000E+02  0.2164274651374282E-06  0.4742102784395132E-06
  0.1110000000000000E+02  0.2036028419943513E-06  0.4463539458517276E-06
  0.1115000000000000E+02  0.1915081440588491E-06  0.4200709032725822E-06
  0.1120000000000000E+02  0.1801034533730616E-06  0.3952756640773211E-06
  0.1125000000000000E+02  0.1693509566072160E-06  0.3718872262130212E-06
  0.1130000000000000E+02  0.1592148372576001E-06  0.3498288433862986E-06
  0.1135000000000000E+02  0.1496611732723944E-06  0.3290278077255847E-06
  0.1140000000000000E+02  0.1406578398336822E-06  0.3094152433474413E-06
  0.1145000000000000E+02  0.1321744170374578E-06  0.2909259102844169E-06
  0.1150000000000000E+02  0.1241821022263249E-06  0.2734980182586291E-06
  0.1155000000000000E+02  0.1166536267418379E-06  0.2570730498107513E-06
  0.1160000000000000E+02  0.1095631768750610E-06  0.2415955923182629E-06
  0.1165000000000000E+02  0.1028863188050238E-06  0.2270131784599199E-06
  0.1170000000000000E+02  0.9659992732526537E-07  0.2132761347053588E-06
  0.1175000000000000E+02  0.9068211816868906E-07  0.2003374374296238E-06
  0.1180000000000000E+02  0.8511218375045699E-07  0.1881525762723175E-06
  0.1185000000000000E+02  0.7987053215771211E-07  0.1766794243799685E-06
  0.1190000000000000E+02  0.7493862922350276E-07  0.1658781151882095E-06
  0.1195000000000000E+02  0.7029894353046676E-07  0.1557109254174723E-06
  0.1200000000000000E+02  0.6593489419757500E-07  0.1461421639721566E-06
  0.1205000000000000E+02  0.6183080131062550E-07  0.1371380664487191E-06
  0.1210000000000000E+02  0.5797183886416399E-07  0.1286666949728034E-06
  0.1215000000000000E+02  0.5434399008916553E-07  0.1206978430995219E-06
  0.1220000000000000E+02  0.5093400504712522E-07  0.1132029455242710E-06
  0.1225000000000000E+02  0.4772936037719399E-07  0.1061549923640724E-06
  0.1230000000000000E+02  0.4471822108869942E-07  0.9952844778142962E-07
  0.1235000000000000E+02  0.4188940429678231E-07  0.9329917273406474E-07
  0.1240000000000000E+02  0.3923234480402088E-07  0.8744435164472463E-07
  0.1245000000000000E+02  0.3673706243577790E-07  0.8194242279552465E-07
  0.1250000000000000E+02  0.3439413104163027E-07  0.7677301226103745E-07
  0.1255000000000000E+02  0.3219464907962991E-07  0.7191687120363351E-07
  0.1260000000000000E+02  0.3013021170430693E-07  0.6735581636334977E-07
  0.1265000000000000E+02  0.2819288428328300E-07  0.6307267358294580E-07
  0.1270000000000000E+02  0.2637517727111229E-07  0.5905122421673620E-07
  0.1275000000000000E+02  0.2467002237252987E-07  0.5527615427932171E-07
  0.1280000000000000E+02  0.2307074993067066E-07  0.5173300619751047E-07
  0.1285000000000000E+02  0.2157106747902741E-07  0.4840813303550857E-07
  0.1290000000000000E+02  0.2016503939896606E-07  0.4528865506991944E-07
  0.1295000000000000E+02  0.1884706762750733E-07  0.4236241859722160E-07
  0.1300000000000000E+02  0.1761187336282952E-07  0.3961795686221155E-07
  0.1305000000000000E+02  0.1645447971755320E-07  0.3704445300143100E-07
  0.1310000000000000E+02  0.1537019527234544E-07  0.3463170490084492E-07
  0.1315000000000000E+02  0.1435459848472913E-07  0.3237009187202455E-07
  0.1320000000000000E+02  0.1340352291021675E-07  0.3025054305582485E-07
  0.1325000000000000E+02  0.1251304319500500E-07  0.2826450746704344E-07
  0.1330000000000000E+02  0.1167946180148255E-07  0.2640392559782275E-07
  0.1335000000000000E+02  0.1089929642971245E-07  0.2466120250161410E-07
  0.1340000000000000E+02  0.1016926809986906E-07  0.2302918228337984E-07
  0.1345000000000000E+02  0.9486289862334095E-08  0.2150112392537417E-07
  0.1350000000000000E+02  0.8847456103796295E-08  0.2007067838132222E-07
  0.1355000000000000E+02  0.8250032419257425E-08  0.1873186687512770E-07
  0.1360000000000000E+02  0.7691446021327392E-08  0.1747906034338127E-07
  0.1365000000000000E+02  0.7169276659599517E-08  0.1630695996393050E-07
  0.1370000000000000E+02  0.6681248024234328E-08  0.1521057871561313E-07
  0.1375000000000000E+02  0.6225219609151672E-08  0.1418522391695237E-07
  0.1380000000000000E+02  0.5799179011441062E-08  0.1322648069418379E-07
  0.1385000000000000E+02  0.5401234644748952E-08  0.1233019633141904E-07
  0.1390000000000000E+02  0.5029608845495725E-08  0.1149246545807557E-07
  0.1395000000000000E+02  0.4682631351815115E-08  0.1070961603090625E-07
  0.1400000000000000E+02  0.4358733136097343E-08  0.9978196070061281E-08
  0.1405000000000000E+02  0.4056440572959059E-08  0.9294961110611864E-08
  0.1410000000000000E+02  0.3774369925357686E-08  0.8656862332862251E-08
  0.1415000000000000E+02  0.3511222132419916E-08  0.8061035336583654E-08
  0.1420000000000000E+02  0.3265777883364453E-08  0.7504789526021859E-08
  0.1425000000000000E+02  0.3036892962670225E-08  0.6985598074164367E-08
  0.1430000000000000E+02  0.2823493852375523E-08  0.6501088436309276E-08
  0.1435000000000000E+02  0.2624573578091800E-08  0.6049033384457634E-08
  0.1440000000000000E+02  0.2439187785980947E-08  0.5627342535460080E-08
  0.1445000000000000E+02  0.2266451038577766E-08  0.5234054347188860E-08
  0.1450000000000000E+02  0.2105533317941553E-08  0.4867328558282104E-08
  0.1455000000000000E+02  0.1955656725194590E-08  0.4525439048222118E-08
  0.1460000000000000E+02  0.1816092366050946E-08  0.4206767095664426E-08
  0.1465000000000000E+02  0.1686157412458877E-08  0.3909795014035394E-08
  0.1470000000000000E+02  0.1565212330974981E-08  0.3633100144462969E-08
  0.1475000000000000E+02  0.1452658268959187E-08  0.3375349187102136E-08
  0.1480000000000000E+02  0.1347934590128176E-08  0.3135292852865701E-08
  0.1485000000000000E+02  0.1250516551431772E-08  0.2911760818474219E-08
  0.1490000000000000E+02  0.1159913113623252E-08  0.2703656968598846E-08
  0.1495000000000000E+02  0.1075664878281471E-08  0.2509954909689541E-08
  0.1500000000000000E+02  0.9973421444108984E-09  0.2329693740859822E-08
  0.1505000000000000E+02  0.9245430780964448E-09  0.2161974067941402E-08
  0.1510000000000000E+02  0.8568919890233861E-09  0.2005954247527485E-08
  0.1515000000000000E+02  0.7940377079905499E-09  0.1860846848495637E-08
