          #r                      g1                      g12
  0.7100000000000000E-03  0.4566800967767335E+01  0.1828248958692065E+00
  0.7200000000000000E-03  0.4566717471791908E+01  0.1828249875112024E+00
  0.7300000000000000E-03  0.4566632865291074E+01  0.1828250804321918E+00
  0.7400000000000000E-03  0.4566547150587941E+01  0.1828251746328545E+00
  0.7500000000000000E-03  0.4566460330032356E+01  0.1828252701125782E+00
  0.7600000000000000E-03  0.4566372406004244E+01  0.1828253668714227E+00
  0.7700000000000000E-03  0.4566283380908549E+01  0.1828254649094288E+00
  0.7800000000000000E-03  0.4566193257179374E+01  0.1828255642262526E+00
  0.7900000000000000E-03  0.4566102037275901E+01  0.1828256648222860E+00
  0.8000000000000000E-03  0.4566009723685677E+01  0.1828257666968215E+00
  0.8100000000000000E-03  0.4565916318923641E+01  0.1828258698498141E+00
  0.8200000000000000E-03  0.4565821825530605E+01  0.1828259742815413E+00
  0.8300000000000000E-03  0.4565726246072354E+01  0.1828260799917913E+00
  0.8400000000000000E-03  0.4565629583144211E+01  0.1828261869802189E+00
  0.8500000000000000E-03  0.4565531839364027E+01  0.1828262952468810E+00
  0.8600000000000000E-03  0.4565433017377487E+01  0.1828264047917205E+00
  0.8700000000000000E-03  0.4565333119856301E+01  0.1828265156145044E+00
  0.8800000000000000E-03  0.4565232149496897E+01  0.1828266277152810E+00
  0.8899999999999999E-03  0.4565130109020018E+01  0.1828267410936265E+00
  0.9000000000000000E-03  0.4565027001174040E+01  0.1828268557497802E+00
  0.9100000000000000E-03  0.4564922828730801E+01  0.1828269716833398E+00
  0.9200000000000000E-03  0.4564817594485807E+01  0.1828270888945311E+00
  0.9300000000000001E-03  0.4564711301261113E+01  0.1828272073828003E+00
  0.9400000000000000E-03  0.4564603951902474E+01  0.1828273271485248E+00
  0.9500000000000000E-03  0.4564495549279258E+01  0.1828274481910264E+00
  0.9600000000000000E-03  0.4564386096284821E+01  0.1828275705105119E+00
  0.9700000000000001E-03  0.4564275595837832E+01  0.1828276941069890E+00
  0.9800000000000000E-03  0.4564164050878351E+01  0.1828278189799732E+00
  0.9900000000000000E-03  0.4564051464370711E+01  0.1828279451295470E+00
  0.1000000000000000E-02  0.4563937839303293E+01  0.1828280725555770E+00
  0.1010000000000000E-02  0.4563823178685642E+01  0.1828282012580681E+00
  0.1020000000000000E-02  0.4563707485550926E+01  0.1828283312363895E+00
  0.1030000000000000E-02  0.4563590762955741E+01  0.1828284624909043E+00
  0.1040000000000000E-02  0.4563473013976960E+01  0.1828285950217161E+00
  0.1050000000000000E-02  0.4563354241715506E+01  0.1828287288279219E+00
  0.1060000000000000E-02  0.4563234449293461E+01  0.1828288639097639E+00
  0.1070000000000000E-02  0.4563113639854298E+01  0.1828290002670894E+00
