         #eta                 varrho1                 varrho2
  0.3100000000000000E-03  0.9163960932094286E-02  0.2710444648965620E+01
  0.3200000000000000E-03  0.9163960923283927E-02  0.2710444406420654E+01
  0.3300000000000000E-03  0.9163960914117038E-02  0.2710444156176133E+01
  0.3400000000000000E-03  0.9163960904833832E-02  0.2710443898232029E+01
  0.3500000000000000E-03  0.9163960895067783E-02  0.2710443632587195E+01
  0.3600000000000000E-03  0.9163960885128591E-02  0.2710443359243527E+01
  0.3700000000000000E-03  0.9163960874706780E-02  0.2710443078199887E+01
  0.3800000000000000E-03  0.9163960864168453E-02  0.2710442789456456E+01
  0.3900000000000000E-03  0.9163960853387557E-02  0.2710442493013005E+01
  0.4000000000000000E-03  0.9163960842477687E-02  0.2710442188870161E+01
  0.4100000000000000E-03  0.9163960830996441E-02  0.2710441877027279E+01
  0.4200000000000000E-03  0.9163960819316832E-02  0.2710441557484122E+01
  0.4300000000000000E-03  0.9163960807394567E-02  0.2710441230241022E+01
  0.4400000000000000E-03  0.9163960795128556E-02  0.2710440895299115E+01
  0.4500000000000000E-03  0.9163960782733372E-02  0.2710440552657076E+01
  0.4600000000000000E-03  0.9163960769868269E-02  0.2710440202315576E+01
  0.4700000000000000E-03  0.9163960756930921E-02  0.2710439844273424E+01
  0.4800000000000000E-03  0.9163960743523446E-02  0.2710439478532218E+01
  0.4900000000000000E-03  0.9163960729930150E-02  0.2710439105091515E+01
  0.5000000000000000E-03  0.9163960715866759E-02  0.2710438723950735E+01
  0.5100000000000000E-03  0.9163960701788147E-02  0.2710438335109890E+01
  0.5200000000000000E-03  0.9163960687422517E-02  0.2710437938569422E+01
  0.5300000000000000E-03  0.9163960672473173E-02  0.2710437534329012E+01
  0.5400000000000000E-03  0.9163960657438837E-02  0.2710437122389190E+01
  0.5500000000000000E-03  0.9163960642118036E-02  0.2710436702749737E+01
  0.5600000000000000E-03  0.9163960626610929E-02  0.2710436275410359E+01
  0.5700000000000000E-03  0.9163960610804475E-02  0.2710435840370934E+01
  0.5800000000000000E-03  0.9163960594641501E-02  0.2710435397632049E+01
  0.5900000000000000E-03  0.9163960578179125E-02  0.2710434947193448E+01
  0.5999999999999999E-03  0.9163960561360308E-02  0.2710434489055151E+01
  0.6100000000000000E-03  0.9163960544355766E-02  0.2710434023217024E+01
  0.6200000000000000E-03  0.9163960527234602E-02  0.2710433549679180E+01
  0.6300000000000000E-03  0.9163960509573956E-02  0.2710433068442673E+01
  0.6400000000000001E-03  0.9163960491796897E-02  0.2710432579504944E+01
  0.6500000000000000E-03  0.9163960473594118E-02  0.2710432082867773E+01
  0.6600000000000000E-03  0.9163960455218004E-02  0.2710431578531171E+01
  0.6700000000000000E-03  0.9163960436485326E-02  0.2710431066495261E+01
  0.6800000000000000E-03  0.9163960417510157E-02  0.2710430546759454E+01
  0.6900000000000000E-03  0.9163960398222776E-02  0.2710430019323221E+01
  0.7000000000000000E-03  0.9163960378648401E-02  0.2710429484188476E+01
  0.7100000000000000E-03  0.9163960359128320E-02  0.2710428941353106E+01
  0.7200000000000000E-03  0.9163960338771756E-02  0.2710428390818824E+01
  0.7300000000000000E-03  0.9163960318595600E-02  0.2710427832584761E+01
  0.7400000000000000E-03  0.9163960297879917E-02  0.2710427266650394E+01
  0.7500000000000000E-03  0.9163960276978408E-02  0.2710426693017676E+01
  0.7600000000000000E-03  0.9163960255890880E-02  0.2710426111683299E+01
  0.7700000000000000E-03  0.9163960234276678E-02  0.2710425522651045E+01
  0.7800000000000000E-03  0.9163960212489121E-02  0.2710424925918280E+01
  0.7900000000000000E-03  0.9163960190446288E-02  0.2710424321487049E+01
  0.8000000000000000E-03  0.9163960168230158E-02  0.2710423709354785E+01
  0.8100000000000000E-03  0.9163960145360847E-02  0.2710423089523478E+01
  0.8200000000000000E-03  0.9163960122602391E-02  0.2710422461992920E+01
  0.8300000000000000E-03  0.9163960099418243E-02  0.2710421826761925E+01
  0.8400000000000000E-03  0.9163960076003917E-02  0.2710421183831642E+01
  0.8500000000000000E-03  0.9163960052220635E-02  0.2710420533202665E+01
