         #eta                     f1                      f12
  0.7700000000000000E-03  0.4501301493163634E-02  0.1887736041485895E-01
  0.7800000000000000E-03  0.4501301485324534E-02  0.1887736084374314E-01
  0.7900000000000000E-03  0.4501301477355242E-02  0.1887736127845585E-01
  0.8000000000000000E-03  0.4501301469308716E-02  0.1887736171854026E-01
  0.8100000000000000E-03  0.4501301461135587E-02  0.1887736216426313E-01
  0.8200000000000000E-03  0.4501301452878081E-02  0.1887736261528235E-01
  0.8300000000000000E-03  0.4501301444513661E-02  0.1887736307187060E-01
  0.8400000000000000E-03  0.4501301436049654E-02  0.1887736353405334E-01
  0.8500000000000000E-03  0.4501301427483839E-02  0.1887736400189629E-01
  0.8600000000000000E-03  0.4501301418811554E-02  0.1887736447503115E-01
  0.8700000000000000E-03  0.4501301410053449E-02  0.1887736495396301E-01
  0.8800000000000000E-03  0.4501301401147351E-02  0.1887736543809678E-01
  0.8899999999999999E-03  0.4501301392232963E-02  0.1887736592803805E-01
  0.9000000000000000E-03  0.4501301383125027E-02  0.1887736642356226E-01
  0.9100000000000000E-03  0.4501301373954584E-02  0.1887736692442503E-01
  0.9200000000000000E-03  0.4501301364688071E-02  0.1887736743081048E-01
  0.9300000000000001E-03  0.4501301355301209E-02  0.1887736794298863E-01
  0.9400000000000000E-03  0.4501301345822013E-02  0.1887736846044552E-01
  0.9500000000000000E-03  0.4501301336249190E-02  0.1887736898331467E-01
  0.9600000000000000E-03  0.4501301326556646E-02  0.1887736951214736E-01
  0.9700000000000001E-03  0.4501301316774102E-02  0.1887737004624087E-01
  0.9800000000000000E-03  0.4501301306916579E-02  0.1887737058632618E-01
  0.9900000000000000E-03  0.4501301296922722E-02  0.1887737113125014E-01
  0.1000000000000000E-02  0.4501301286835901E-02  0.1887737168231585E-01
  0.1010000000000000E-02  0.4501301276653935E-02  0.1887737223847600E-01
  0.1020000000000000E-02  0.4501301266363426E-02  0.1887737280027639E-01
  0.1030000000000000E-02  0.4501301255985616E-02  0.1887737336750990E-01
  0.1040000000000000E-02  0.4501301245493712E-02  0.1887737394045589E-01
  0.1050000000000000E-02  0.4501301234898891E-02  0.1887737451896928E-01
  0.1060000000000000E-02  0.4501301224198488E-02  0.1887737510295651E-01
  0.1070000000000000E-02  0.4501301213375442E-02  0.1887737569252253E-01
  0.1080000000000000E-02  0.4501301202500141E-02  0.1887737628742666E-01
  0.1090000000000000E-02  0.4501301191495351E-02  0.1887737688818388E-01
  0.1100000000000000E-02  0.4501301180405666E-02  0.1887737749414375E-01
  0.1110000000000000E-02  0.4501301169212324E-02  0.1887737810566777E-01
  0.1120000000000000E-02  0.4501301157888715E-02  0.1887737872296983E-01
  0.1130000000000000E-02  0.4501301146500232E-02  0.1887737934566728E-01
  0.1140000000000000E-02  0.4501301134992771E-02  0.1887737997394693E-01
  0.1150000000000000E-02  0.4501301123383354E-02  0.1887738060769998E-01
  0.1160000000000000E-02  0.4501301111648481E-02  0.1887738124715084E-01
  0.1170000000000000E-02  0.4501301099859837E-02  0.1887738189210545E-01
  0.1180000000000000E-02  0.4501301087944813E-02  0.1887738254235434E-01
  0.1190000000000000E-02  0.4501301075935049E-02  0.1887738319840511E-01
  0.1200000000000000E-02  0.4501301063789986E-02  0.1887738385968725E-01
  0.1210000000000000E-02  0.4501301051604252E-02  0.1887738452693115E-01
  0.1220000000000000E-02  0.4501301039298207E-02  0.1887738519930930E-01
  0.1230000000000000E-02  0.4501301026877180E-02  0.1887738587740539E-01
  0.1240000000000000E-02  0.4501301014359564E-02  0.1887738656112559E-01
  0.1250000000000000E-02  0.4501301001729630E-02  0.1887738725024013E-01
  0.1260000000000000E-02  0.4501300989006178E-02  0.1887738794488536E-01
  0.1270000000000000E-02  0.4501300976187579E-02  0.1887738864525031E-01
  0.1280000000000000E-02  0.4501300963222099E-02  0.1887738935059987E-01
  0.1290000000000000E-02  0.4501300950245997E-02  0.1887739006181273E-01
  0.1300000000000000E-02  0.4501300937094665E-02  0.1887739077918675E-01
  0.1310000000000000E-02  0.4501300923853850E-02  0.1887739150131311E-01
  0.1320000000000000E-02  0.4501300910541572E-02  0.1887739222915933E-01
  0.1330000000000000E-02  0.4501300897102878E-02  0.1887739296270130E-01
  0.1340000000000000E-02  0.4501300883576771E-02  0.1887739370159410E-01
  0.1350000000000000E-02  0.4501300869937090E-02  0.1887739444612313E-01
  0.1360000000000000E-02  0.4501300856221024E-02  0.1887739519615117E-01
  0.1370000000000000E-02  0.4501300842364849E-02  0.1887739595180079E-01
  0.1380000000000000E-02  0.4501300828418819E-02  0.1887739671294438E-01
  0.1390000000000000E-02  0.4501300814391040E-02  0.1887739747948751E-01
  0.1400000000000000E-02  0.4501300800259234E-02  0.1887739825160232E-01
  0.1410000000000000E-02  0.4501300786016960E-02  0.1887739902962323E-01
  0.1420000000000000E-02  0.4501300771643161E-02  0.1887739981261334E-01
  0.1430000000000000E-02  0.4501300757223659E-02  0.1887740060152820E-01
  0.1440000000000000E-02  0.4501300742667302E-02  0.1887740139573217E-01
  0.1450000000000000E-02  0.4501300728011286E-02  0.1887740219552692E-01
  0.1460000000000000E-02  0.4501300713284843E-02  0.1887740300117017E-01
  0.1470000000000000E-02  0.4501300698426506E-02  0.1887740381201090E-01
  0.1480000000000000E-02  0.4501300683459664E-02  0.1887740462845396E-01
  0.1490000000000000E-02  0.4501300668417955E-02  0.1887740545016940E-01
  0.1500000000000000E-02  0.4501300653236173E-02  0.1887740627779551E-01
  0.1510000000000000E-02  0.4501300637994181E-02  0.1887740711101301E-01
  0.1520000000000000E-02  0.4501300622616407E-02  0.1887740794959243E-01
  0.1530000000000000E-02  0.4501300607192745E-02  0.1887740879345845E-01
  0.1540000000000000E-02  0.4501300591631711E-02  0.1887740964320272E-01
  0.1550000000000000E-02  0.4501300575975605E-02  0.1887741049864422E-01
  0.1560000000000000E-02  0.4501300560188271E-02  0.1887741135947518E-01
  0.1570000000000000E-02  0.4501300544319705E-02  0.1887741222559377E-01
  0.1580000000000000E-02  0.4501300528358398E-02  0.1887741309731912E-01
  0.1590000000000000E-02  0.4501300512292694E-02  0.1887741397484473E-01
  0.1600000000000000E-02  0.4501300496108381E-02  0.1887741485762584E-01
  0.1610000000000000E-02  0.4501300479873922E-02  0.1887741574607012E-01
  0.1620000000000000E-02  0.4501300463480555E-02  0.1887741664001430E-01
  0.1630000000000000E-02  0.4501300446984565E-02  0.1887741753952765E-01
  0.1640000000000000E-02  0.4501300430468554E-02  0.1887741844432892E-01
  0.1650000000000000E-02  0.4501300413781643E-02  0.1887741935514420E-01
  0.1660000000000000E-02  0.4501300396990445E-02  0.1887742027113519E-01
  0.1670000000000000E-02  0.4501300380110392E-02  0.1887742119279571E-01
  0.1680000000000000E-02  0.4501300363129346E-02  0.1887742211993260E-01
  0.1690000000000000E-02  0.4501300346045493E-02  0.1887742305255043E-01
  0.1700000000000000E-02  0.4501300328856354E-02  0.1887742399098657E-01
  0.1710000000000000E-02  0.4501300311587834E-02  0.1887742493458585E-01
  0.1720000000000000E-02  0.4501300294168620E-02  0.1887742588398211E-01
  0.1730000000000000E-02  0.4501300276722168E-02  0.1887742683886007E-01
  0.1740000000000000E-02  0.4501300259119767E-02  0.1887742779899160E-01
  0.1750000000000000E-02  0.4501300241459079E-02  0.1887742876505779E-01
  0.1760000000000000E-02  0.4501300223630304E-02  0.1887742973652973E-01
  0.1770000000000000E-02  0.4501300205721999E-02  0.1887743071363450E-01
  0.1780000000000000E-02  0.4501300187783719E-02  0.1887743169589973E-01
  0.1790000000000000E-02  0.4501300169664509E-02  0.1887743268387047E-01
  0.1800000000000000E-02  0.4501300151487975E-02  0.1887743367756863E-01
  0.1810000000000000E-02  0.4501300133166297E-02  0.1887743467669474E-01
  0.1820000000000000E-02  0.4501300114782891E-02  0.1887743568162155E-01
  0.1830000000000000E-02  0.4501300096260485E-02  0.1887743669171327E-01
  0.1840000000000000E-02  0.4501300077667876E-02  0.1887743770741901E-01
  0.1850000000000000E-02  0.4501300058988078E-02  0.1887743872849068E-01
  0.1860000000000000E-02  0.4501300040161286E-02  0.1887743975536793E-01
  0.1870000000000000E-02  0.4501300021256076E-02  0.1887744078776491E-01
  0.1880000000000000E-02  0.4501300002235809E-02  0.1887744182551761E-01
  0.1890000000000000E-02  0.4501299983137086E-02  0.1887744286891883E-01
  0.1900000000000000E-02  0.4501299963926082E-02  0.1887744391782675E-01
  0.1910000000000000E-02  0.4501299944619230E-02  0.1887744497219845E-01
  0.1920000000000000E-02  0.4501299925245765E-02  0.1887744603250452E-01
  0.1930000000000000E-02  0.4501299905675678E-02  0.1887744709786092E-01
  0.1940000000000000E-02  0.4501299886073211E-02  0.1887744816904095E-01
  0.1950000000000000E-02  0.4501299866354651E-02  0.1887744924550535E-01
  0.1960000000000000E-02  0.4501299846532285E-02  0.1887745032773373E-01
  0.1970000000000000E-02  0.4501299826635348E-02  0.1887745141542737E-01
  0.1980000000000000E-02  0.4501299806592529E-02  0.1887745250862283E-01
  0.1990000000000000E-02  0.4501299786488240E-02  0.1887745360747894E-01
  0.2000000000000000E-02  0.4501299766259311E-02  0.1887745471169078E-01
  0.5992000000000000E-02  0.4501283595334082E-02  0.1887833762779782E-01
  0.9984000000000000E-02  0.4501251269826108E-02  0.1888010215044774E-01
  0.1397600000000000E-01  0.4501202789961800E-02  0.1888274742924301E-01
  0.1796800000000000E-01  0.4501138156245273E-02  0.1888627218884705E-01
  0.2196000000000000E-01  0.4501057369125834E-02  0.1889067473065387E-01
