          #r                      rho1                    rho2
  0.7045920000000000E+00  0.0000000000000000E+00  0.9139633081879062E-01
  0.7085840000000000E+00  0.0000000000000000E+00  0.8950945069288470E-01
  0.7125760000000000E+00  0.0000000000000000E+00  0.8766255889593862E-01
  0.7165680000000000E+00  0.0000000000000000E+00  0.8585478997984690E-01
  0.7205600000000000E+00  0.0000000000000000E+00  0.8408529772638218E-01
  0.7245520000000000E+00  0.0000000000000000E+00  0.8235325470107420E-01
  0.7285440000000000E+00  0.0000000000000000E+00  0.8065785182353331E-01
  0.7325360000000000E+00  0.0000000000000000E+00  0.7899829794163911E-01
  0.7365280000000000E+00  0.0000000000000000E+00  0.7737381942579595E-01
  0.7405200000000000E+00  0.0000000000000000E+00  0.7578365976462138E-01
  0.7445120000000000E+00  0.0000000000000000E+00  0.7422707917709470E-01
  0.7485039999999999E+00  0.0000000000000000E+00  0.7270335423063745E-01
  0.7524960000000001E+00  0.0000000000000000E+00  0.7121177746882197E-01
  0.7564880000000000E+00  0.0000000000000000E+00  0.6975165705014952E-01
  0.7604800000000000E+00  0.0000000000000000E+00  0.6832231639412327E-01
  0.7644720000000000E+00  0.0000000000000000E+00  0.6692309383618511E-01
  0.7684640000000000E+00  0.0000000000000000E+00  0.6555334229132577E-01
  0.7724560000000000E+00  0.0000000000000000E+00  0.6421242892263024E-01
  0.7764480000000000E+00  0.0000000000000000E+00  0.6289973482544120E-01
  0.7804400000000000E+00  0.0000000000000000E+00  0.6161465470805153E-01
  0.7844320000000000E+00  0.0000000000000000E+00  0.6035659658942608E-01
  0.7884240000000000E+00  0.0000000000000000E+00  0.5912498149951162E-01
  0.7924160000000000E+00  0.0000000000000000E+00  0.5791924318618739E-01
  0.7964080000000000E+00  0.0000000000000000E+00  0.5673882783086685E-01
  0.8004000000000000E+00  0.0000000000000000E+00  0.5558319377050017E-01
  0.8043920000000000E+00  0.0000000000000000E+00  0.5445181122323373E-01
  0.8083840000000000E+00  0.0000000000000000E+00  0.5334416202350489E-01
  0.8123760000000000E+00  0.0000000000000000E+00  0.5225973936369469E-01
  0.8163680000000000E+00  0.0000000000000000E+00  0.5119804753764819E-01
  0.8203600000000000E+00  0.0000000000000000E+00  0.5015860169243958E-01
  0.8243520000000000E+00  0.0000000000000000E+00  0.4914092758694988E-01
  0.8283440000000000E+00  0.0000000000000000E+00  0.4814456135553188E-01
  0.8323360000000000E+00  0.0000000000000000E+00  0.4716904927360913E-01
  0.8363280000000000E+00  0.0000000000000000E+00  0.4621394753125566E-01
  0.8403200000000000E+00  0.0000000000000000E+00  0.4527882201495714E-01
  0.8443120000000000E+00  0.0000000000000000E+00  0.4436324808761150E-01
  0.8483039999999999E+00  0.0000000000000000E+00  0.4346681037788569E-01
  0.8522960000000001E+00  0.0000000000000000E+00  0.4258910257372284E-01
  0.8562880000000000E+00  0.0000000000000000E+00  0.4172972721940452E-01
  0.8602800000000000E+00  0.0000000000000000E+00  0.4088829551819329E-01
  0.8642720000000000E+00  0.0000000000000000E+00  0.4006442713860651E-01
  0.8682640000000000E+00  0.0000000000000000E+00  0.3925775002618451E-01
  0.8722560000000000E+00  0.0000000000000000E+00  0.3846790021678773E-01
  0.8762480000000000E+00  0.0000000000000000E+00  0.3769452165898531E-01
  0.8802400000000000E+00  0.0000000000000000E+00  0.3693726603366369E-01
  0.8842320000000000E+00  0.0000000000000000E+00  0.3619579258558181E-01
  0.8882240000000000E+00  0.0000000000000000E+00  0.3546976795039170E-01
  0.8922160000000000E+00  0.0000000000000000E+00  0.3475886599233435E-01
  0.8962080000000000E+00  0.0000000000000000E+00  0.3406276764274570E-01
  0.9002000000000000E+00  0.0000000000000000E+00  0.3338116074101283E-01
  0.9041920000000000E+00  0.0000000000000000E+00  0.3271373988192720E-01
  0.9081840000000000E+00  0.0000000000000000E+00  0.3206020626397151E-01
  0.9121760000000000E+00  0.0000000000000000E+00  0.3142026754259156E-01
  0.9161680000000000E+00  0.0000000000000000E+00  0.3079363768599460E-01
  0.9201600000000000E+00  0.0000000000000000E+00  0.3018003683477222E-01
  0.9241520000000000E+00  0.0000000000000000E+00  0.2957919116377195E-01
  0.9281440000000000E+00  0.0000000000000000E+00  0.2899083274854375E-01
  0.9321360000000000E+00  0.0000000000000000E+00  0.2841469943261687E-01
  0.9361280000000000E+00  0.0000000000000000E+00  0.2785053470065909E-01
  0.9401200000000000E+00  0.0000000000000000E+00  0.2729808755247420E-01
  0.9441120000000000E+00  0.0000000000000000E+00  0.2675711237913214E-01
  0.9481039999999999E+00  0.0000000000000000E+00  0.2622736884513148E-01
  0.9520960000000001E+00  0.0000000000000000E+00  0.2570862176959017E-01
  0.9560880000000000E+00  0.0000000000000000E+00  0.2520064101227574E-01
  0.9600800000000000E+00  0.0000000000000000E+00  0.2470320136279576E-01
  0.9640720000000000E+00  0.0000000000000000E+00  0.2421608242870284E-01
  0.9680640000000000E+00  0.0000000000000000E+00  0.2373906853212200E-01
  0.9720560000000000E+00  0.0000000000000000E+00  0.2327194860210498E-01
  0.9760480000000000E+00  0.0000000000000000E+00  0.2281451607455424E-01
  0.9800400000000000E+00  0.0000000000000000E+00  0.2236656879200042E-01
  0.9840320000000000E+00  0.0000000000000000E+00  0.2192790890627790E-01
  0.9880240000000000E+00  0.0000000000000000E+00  0.2149834278265628E-01
  0.9920160000000000E+00  0.0000000000000000E+00  0.2107768090736280E-01
  0.9960080000000000E+00  0.0000000000000000E+00  0.2066573779806110E-01
  0.1000000000000000E+01  0.0000000000000000E+00  0.2026233191159443E-01
  0.1026491680839000E+01  0.0000000000000000E+00  0.1778898477002270E-01
  0.1056786161003000E+01  0.0000000000000000E+00  0.1535122262179415E-01
  0.1088703936712000E+01  0.0000000000000000E+00  0.1316906128082092E-01
  0.1121723800805000E+01  0.0000000000000000E+00  0.1126482107372184E-01
  0.1155588150741000E+01  0.0000000000000000E+00  0.9626078742742758E-02
  0.1190141050780000E+01  0.0000000000000000E+00  0.8228920739727372E-02
  0.1225277261537000E+01  0.0000000000000000E+00  0.7046018364665285E-02
  0.1260920678924000E+01  0.0000000000000000E+00  0.6050097120955815E-02
  0.1297013558176000E+01  0.0000000000000000E+00  0.5215522033545601E-02
  0.1333510502098000E+01  0.0000000000000000E+00  0.4518987235567244E-02
  0.1370374832331000E+01  0.0000000000000000E+00  0.3939745258903504E-02
  0.1407576264730000E+01  0.0000000000000000E+00  0.3459592532521039E-02
  0.1445089349019000E+01  0.0000000000000000E+00  0.3062727407848409E-02
  0.1482892381256000E+01  0.0000000000000000E+00  0.2735546237745153E-02
  0.1520966621941000E+01  0.0000000000000000E+00  0.2466415327792423E-02
  0.1559295718995000E+01  0.0000000000000000E+00  0.2245440624211799E-02
  0.1597865272400000E+01  0.0000000000000000E+00  0.2064247488300067E-02
  0.1636662499333000E+01  0.0000000000000000E+00  0.1915777098145758E-02
  0.1675675972292000E+01  0.0000000000000000E+00  0.1794102443198627E-02
  0.1714895411252000E+01  0.0000000000000000E+00  0.1694264695052257E-02
  0.1754311516553000E+01  0.0000000000000000E+00  0.1612129435367519E-02
  0.1793915832968000E+01  0.0000000000000000E+00  0.1544261484665207E-02
  0.1833700637965000E+01  0.0000000000000000E+00  0.1487816705926977E-02
  0.1873658848995000E+01  0.0000000000000000E+00  0.1440449014298813E-02
  0.1913783945901000E+01  0.0000000000000000E+00  0.1400230825690481E-02
  0.1954069905471000E+01  0.0000000000000000E+00  0.1365585262934399E-02
  0.1994511145848000E+01  0.0000000000000000E+00  0.1335228568351073E-02
  0.2035102478983000E+01  0.0000000000000000E+00  0.1308121323172928E-02
  0.2075839069744000E+01  0.0000000000000000E+00  0.1283427229840539E-02
  0.2116716400526000E+01  0.0000000000000000E+00  0.1260478364150756E-02
  0.2157730240489000E+01  0.0000000000000000E+00  0.1238745944619923E-02
  0.2198876618659000E+01  0.0000000000000000E+00  0.1217815794555932E-02
  0.2240151800332000E+01  0.0000000000000000E+00  0.1197367785744530E-02
  0.2281552266261000E+01  0.0000000000000000E+00  0.1177158654108057E-02
  0.2323074694242000E+01  0.0000000000000000E+00  0.1157007664839153E-02
  0.2364715942755000E+01  0.0000000000000000E+00  0.1136784681645020E-02
  0.2406473036380000E+01  0.0000000000000000E+00  0.1116400260323724E-02
  0.2448343152753000E+01  0.0000000000000000E+00  0.1095797443976152E-02
  0.2490323610866000E+01  0.0000000000000000E+00  0.1074944986216492E-02
  0.2532411860537000E+01  0.0000000000000000E+00  0.1053831770299209E-02
  0.2574605472910000E+01  0.0000000000000000E+00  0.1032462228380271E-02
  0.2616902131854000E+01  0.0000000000000000E+00  0.1010852595191652E-02
  0.2659299626176000E+01  0.0000000000000000E+00  0.9890278568972972E-03
  0.2701795842525000E+01  0.0000000000000000E+00  0.9670192777703757E-03
  0.2744388758938000E+01  0.0000000000000000E+00  0.9448624062077295E-03
  0.2787076438941000E+01  0.0000000000000000E+00  0.9225954775285752E-03
  0.2829857026150000E+01  0.0000000000000000E+00  0.9002581443704657E-03
  0.2872728739326000E+01  0.0000000000000000E+00  0.8778904769198894E-03
  0.2915689867825000E+01  0.0000000000000000E+00  0.8555321847327954E-03
  0.2958738767416000E+01  0.0000000000000000E+00  0.8332220199517015E-03
  0.3001873856427000E+01  0.0000000000000000E+00  0.8109973284845228E-03
  0.3045093612177000E+01  0.0000000000000000E+00  0.7888937213639721E-03
  0.3088396567689000E+01  0.0000000000000000E+00  0.7669448432681900E-03
  0.3131781308633000E+01  0.0000000000000000E+00  0.7451822191439824E-03
  0.3175246470497000E+01  0.0000000000000000E+00  0.7236351631971782E-03
  0.3218790735959000E+01  0.0000000000000000E+00  0.7023307372933581E-03
  0.3262412832440000E+01  0.0000000000000000E+00  0.6812937481062037E-03
  0.3306111529822000E+01  0.0000000000000000E+00  0.6605467743064213E-03
  0.3349885638326000E+01  0.0000000000000000E+00  0.6401102166521180E-03
  0.3393734006526000E+01  0.0000000000000000E+00  0.6200023651993085E-03
  0.3437655519494000E+01  0.0000000000000000E+00  0.6002394789435655E-03
  0.3481649097063000E+01  0.0000000000000000E+00  0.5808358741224550E-03
  0.3525713692196000E+01  0.0000000000000000E+00  0.5618040181622081E-03
  0.3569848289467000E+01  0.0000000000000000E+00  0.5431546268688352E-03
  0.3614051903620000E+01  0.0000000000000000E+00  0.5248967629949535E-03
  0.3658323578224000E+01  0.0000000000000000E+00  0.5070379347066681E-03
  0.3702662384408000E+01  0.0000000000000000E+00  0.4895841928350490E-03
  0.3747067419663000E+01  0.0000000000000000E+00  0.4725402260702044E-03
  0.3791537806719000E+01  0.0000000000000000E+00  0.4559094534736805E-03
  0.3836072692483000E+01  0.0000000000000000E+00  0.4396941138714456E-03
  0.3880671247037000E+01  0.0000000000000000E+00  0.4238953518287436E-03
  0.3925332662690000E+01  0.0000000000000000E+00  0.4085133000223115E-03
  0.3970056153079000E+01  0.0000000000000000E+00  0.3935471579122861E-03
  0.4014840952329000E+01  0.0000000000000000E+00  0.3789952666794221E-03
  0.4059686314240000E+01  0.0000000000000000E+00  0.3648551804576045E-03
  0.4104591511533000E+01  0.0000000000000000E+00  0.3511237339085583E-03
  0.4149555835123000E+01  0.0000000000000000E+00  0.3377971062335579E-03
  0.4194578593435000E+01  0.0000000000000000E+00  0.3248708817202572E-03
  0.4239659111753000E+01  0.0000000000000000E+00  0.3123401069432321E-03
  0.4284796731600000E+01  0.0000000000000000E+00  0.3001993447413536E-03
  0.4329990810147000E+01  0.0000000000000000E+00  0.2884427250983478E-03
  0.4375240719658000E+01  0.0000000000000000E+00  0.2770639930511484E-03
  0.4420545846947000E+01  0.0000000000000000E+00  0.2660565537571106E-03
  0.4465905592879000E+01  0.0000000000000000E+00  0.2554135148337801E-03
  0.4511319371877000E+01  0.0000000000000000E+00  0.2451277260987924E-03
  0.4556786611463000E+01  0.0000000000000000E+00  0.2351918168166988E-03
  0.4602306751816000E+01  0.0000000000000000E+00  0.2255982305660083E-03
  0.4647879245346000E+01  0.0000000000000000E+00  0.2163392578310153E-03
  0.4693503556296000E+01  0.0000000000000000E+00  0.2074070664160462E-03
  0.4739179160353000E+01  0.0000000000000000E+00  0.1987937297820128E-03
  0.4784905544280000E+01  0.0000000000000000E+00  0.1904912533946758E-03
  0.4830682205562000E+01  0.0000000000000000E+00  0.1824915991743964E-03
  0.4876508652067000E+01  0.0000000000000000E+00  0.1747867081321742E-03
  0.4922384401727000E+01  0.0000000000000000E+00  0.1673685212732701E-03
  0.4968308982220000E+01  0.0000000000000000E+00  0.1602289988509262E-03
  0.5014281930677000E+01  0.0000000000000000E+00  0.1533601380430404E-03
  0.5060302793397000E+01  0.0000000000000000E+00  0.1467539891293779E-03
  0.5106371125568000E+01  0.0000000000000000E+00  0.1404026702420384E-03
  0.5152486491010000E+01  0.0000000000000000E+00  0.1342983807575582E-03
  0.5198648461916000E+01  0.0000000000000000E+00  0.1284334134029598E-03
  0.5244856618613000E+01  0.0000000000000000E+00  0.1228001651397794E-03
  0.5291110549327000E+01  0.0000000000000000E+00  0.1173911468937337E-03
  0.5337409849959000E+01  0.0000000000000000E+00  0.1121989921928436E-03
  0.5383754123869000E+01  0.0000000000000000E+00  0.1072164647765143E-03
  0.5430142981663000E+01  0.0000000000000000E+00  0.1024364652365073E-03
  0.5476576041002000E+01  0.0000000000000000E+00  0.9785203674655767E-04
  0.5523052926401000E+01  0.0000000000000000E+00  0.9345636994103735E-04
  0.5569573269047000E+01  0.0000000000000000E+00  0.8924280699483424E-04
  0.5616136706617000E+01  0.0000000000000000E+00  0.8520484495984875E-04
  0.5662742883108000E+01  0.0000000000000000E+00  0.8133613840854860E-04
  0.5709391448671000E+01  0.0000000000000000E+00  0.7763050143508376E-04
  0.5756082059445000E+01  0.0000000000000000E+00  0.7408190906201362E-04
  0.5802814377408000E+01  0.0000000000000000E+00  0.7068449809720074E-04
  0.5849588070221000E+01  0.0000000000000000E+00  0.6743256748670552E-04
  0.5896402811091000E+01  0.0000000000000000E+00  0.6432057820370165E-04
  0.5943258278624000E+01  0.0000000000000000E+00  0.6134315271553034E-04
  0.5990154156692000E+01  0.0000000000000000E+00  0.5849507406522844E-04
  0.6037090134305000E+01  0.0000000000000000E+00  0.5577128460435321E-04
  0.6084065905483000E+01  0.0000000000000000E+00  0.5316688441157414E-04
  0.6131081169131000E+01  0.0000000000000000E+00  0.5067712942910036E-04
  0.6178135628925000E+01  0.0000000000000000E+00  0.4829742934697056E-04
  0.6225228993198000E+01  0.0000000000000000E+00  0.4602334526445300E-04
  0.6272360974825000E+01  0.0000000000000000E+00  0.4385058715537109E-04
  0.6319531291118000E+01  0.0000000000000000E+00  0.4177501116191929E-04
  0.6366739663724000E+01  0.0000000000000000E+00  0.3979261674078443E-04
  0.6413985818521000E+01  0.0000000000000000E+00  0.3789954368356908E-04
  0.6461269485525000E+01  0.0000000000000000E+00  0.3609206903121805E-04
  0.6508590398791000E+01  0.0000000000000000E+00  0.3436660390190785E-04
  0.6555948296322000E+01  0.0000000000000000E+00  0.3271969024913832E-04
  0.6603342919984000E+01  0.0000000000000000E+00  0.3114799756610865E-04
  0.6650774015417000E+01  0.0000000000000000E+00  0.2964831955137187E-04
  0.6698241331950000E+01  0.0000000000000000E+00  0.2821757074887440E-04
  0.6745744622523000E+01  0.0000000000000000E+00  0.2685278317455342E-04
  0.6793283643606000E+01  0.0000000000000000E+00  0.2555110294093743E-04
  0.6840858155125000E+01  0.0000000000000000E+00  0.2430978688952875E-04
  0.6888467920385000E+01  0.0000000000000000E+00  0.2312619924035583E-04
  0.6936112705998000E+01  0.0000000000000000E+00  0.2199780826664671E-04
  0.6983792281816000E+01  0.0000000000000000E+00  0.2092218300196100E-04
  0.7031506420860000E+01  0.0000000000000000E+00  0.1989698998649910E-04
  0.7079254899255000E+01  0.0000000000000000E+00  0.1891999005809618E-04
  0.7127037496165000E+01  0.0000000000000000E+00  0.1798903519309831E-04
  0.7174853993732000E+01  0.0000000000000000E+00  0.1710206540143738E-04
  0.7222704177013000E+01  0.0000000000000000E+00  0.1625710567982244E-04
  0.7270587833923000E+01  0.0000000000000000E+00  0.1545226302613688E-04
  0.7318504755175000E+01  0.0000000000000000E+00  0.1468572351793920E-04
  0.7366454734226000E+01  0.0000000000000000E+00  0.1395574945716631E-04
  0.7414437567223000E+01  0.0000000000000000E+00  0.1326067658297655E-04
  0.7462453052947000E+01  0.0000000000000000E+00  0.1259891135418163E-04
  0.7510500992765000E+01  0.0000000000000000E+00  0.1196892830219498E-04
  0.7558581190576000E+01  0.0000000000000000E+00  0.1136926745544019E-04
  0.7606693452764000E+01  0.0000000000000000E+00  0.1079853183548137E-04
  0.7654837588152000E+01  0.0000000000000000E+00  0.1025538502514313E-04
  0.7703013407952000E+01  0.0000000000000000E+00  0.9738548808603586E-05
  0.7751220725721000E+01  0.0000000000000000E+00  0.9246800883058750E-05
  0.7799459357318000E+01  0.0000000000000000E+00  0.8778972641545643E-05
  0.7847729120860000E+01  0.0000000000000000E+00  0.8333947026291439E-05
  0.7896029836678000E+01  0.0000000000000000E+00  0.7910656451769293E-05
  0.7944361327281000E+01  0.0000000000000000E+00  0.7508080796455971E-05
  0.7992723417312000E+01  0.0000000000000000E+00  0.7125245462380090E-05
  0.8041115933508999E+01  0.0000000000000000E+00  0.6761219501182758E-05
  0.8089538704670000E+01  0.0000000000000000E+00  0.6415113805464871E-05
  0.8137991561612001E+01  0.0000000000000000E+00  0.6086079364176671E-05
  0.8186474337138000E+01  0.0000000000000000E+00  0.5773305580563180E-05
  0.8234986866002000E+01  0.0000000000000000E+00  0.5476018651310517E-05
  0.8283528984870999E+01  0.0000000000000000E+00  0.5193480005418682E-05
  0.8332100532294000E+01  0.0000000000000000E+00  0.4924984801233676E-05
  0.8380701348668000E+01  0.0000000000000000E+00  0.4669860480174403E-05
  0.8429331276208000E+01  0.0000000000000000E+00  0.4427465375566973E-05
  0.8477990158912000E+01  0.0000000000000000E+00  0.4197187375079408E-05
  0.8526677842534999E+01  0.0000000000000000E+00  0.3978442635126689E-05
  0.8575394174554001E+01  0.0000000000000000E+00  0.3770674345778605E-05
  0.8624139004142000E+01  0.0000000000000000E+00  0.3573351544533972E-05
  0.8672912182138001E+01  0.0000000000000000E+00  0.3385967977484081E-05
  0.8721713561022000E+01  0.0000000000000000E+00  0.3208041006302398E-05
  0.8770542994884000E+01  0.0000000000000000E+00  0.3039110559597820E-05
  0.8819400339396999E+01  0.0000000000000000E+00  0.2878738127106056E-05
  0.8868285451794000E+01  0.0000000000000000E+00  0.2726505795262621E-05
  0.8917198190842999E+01  0.0000000000000000E+00  0.2582015322743167E-05
  0.8966138416814999E+01  0.0000000000000000E+00  0.2444887254573871E-05
  0.9015105991470000E+01  0.0000000000000000E+00  0.2314760073361166E-05
  0.9064100778025001E+01  0.0000000000000000E+00  0.2191289386398570E-05
  0.9113122641131000E+01  0.0000000000000000E+00  0.2074147147253387E-05
  0.9162171446858000E+01  0.0000000000000000E+00  0.1963020910559775E-05
  0.9211247062662000E+01  0.0000000000000000E+00  0.1857613118827552E-05
  0.9260349357370000E+01  0.0000000000000000E+00  0.1757640419962813E-05
  0.9309478201156001E+01  0.0000000000000000E+00  0.1662833014381462E-05
  0.9358633465522001E+01  0.0000000000000000E+00  0.1572934030533696E-05
  0.9407815023274001E+01  0.0000000000000000E+00  0.1487698927743958E-05
  0.9457022748506001E+01  0.0000000000000000E+00  0.1406894925260200E-05
  0.9506256516575000E+01  0.0000000000000000E+00  0.1330300456494991E-05
  0.9555516204088001E+01  0.0000000000000000E+00  0.1257704647408138E-05
  0.9604801688877000E+01  0.0000000000000000E+00  0.1188906818088542E-05
  0.9654112849986999E+01  0.0000000000000000E+00  0.1123716006547554E-05
  0.9703449567649001E+01  0.0000000000000000E+00  0.1061950513847840E-05
  0.9752811723272000E+01  0.0000000000000000E+00  0.1003437469636122E-05
  0.9802199199419000E+01  0.0000000000000000E+00  0.9480124172727063E-06
  0.9851611879789999E+01  0.0000000000000000E+00  0.8955189177032840E-06
  0.9901049649209000E+01  0.0000000000000000E+00  0.8458081712852369E-06
  0.9950512393606999E+01  0.0000000000000000E+00  0.7987386568126684E-06
  0.1000000000000000E+02  0.0000000000000000E+00  0.7541757870031805E-06
  0.1005000000000000E+02  0.0000000000000000E+00  0.7115876307559388E-06
  0.1010000000000000E+02  0.0000000000000000E+00  0.6713196033028905E-06
  0.1015000000000000E+02  0.0000000000000000E+00  0.6332493334737658E-06
  0.1020000000000000E+02  0.0000000000000000E+00  0.5972607379650158E-06
  0.1025000000000000E+02  0.0000000000000000E+00  0.5632437041602178E-06
  0.1030000000000000E+02  0.0000000000000000E+00  0.5310937887300998E-06
  0.1035000000000000E+02  0.0000000000000000E+00  0.5007119312425991E-06
  0.1040000000000000E+02  0.0000000000000000E+00  0.4720041820492662E-06
  0.1045000000000000E+02  0.0000000000000000E+00  0.4448814437486849E-06
  0.1050000000000000E+02  0.0000000000000000E+00  0.4192592255603899E-06
  0.1055000000000000E+02  0.0000000000000000E+00  0.3950574099743310E-06
  0.1060000000000000E+02  0.0000000000000000E+00  0.3722000310710166E-06
  0.1065000000000000E+02  0.0000000000000000E+00  0.3506150639362754E-06
  0.1070000000000000E+02  0.0000000000000000E+00  0.3302342246221854E-06
  0.1075000000000000E+02  0.0000000000000000E+00  0.3109927801319628E-06
  0.1080000000000000E+02  0.0000000000000000E+00  0.2928293679318682E-06
  0.1085000000000000E+02  0.0000000000000000E+00  0.2756858245171184E-06
  0.1090000000000000E+02  0.0000000000000000E+00  0.2595070225818084E-06
  0.1095000000000000E+02  0.0000000000000000E+00  0.2442407163647089E-06
  0.1100000000000000E+02  0.0000000000000000E+00  0.2298373947637079E-06
  0.1105000000000000E+02  0.0000000000000000E+00  0.2162501418315892E-06
  0.1110000000000000E+02  0.0000000000000000E+00  0.2034345042848606E-06
  0.1115000000000000E+02  0.0000000000000000E+00  0.1913483656754343E-06
  0.1120000000000000E+02  0.0000000000000000E+00  0.1799518268922606E-06
  0.1125000000000000E+02  0.0000000000000000E+00  0.1692070926764338E-06
  0.1130000000000000E+02  0.0000000000000000E+00  0.1590783638489875E-06
  0.1135000000000000E+02  0.0000000000000000E+00  0.1495317349654955E-06
  0.1140000000000000E+02  0.0000000000000000E+00  0.1405350971258204E-06
  0.1145000000000000E+02  0.0000000000000000E+00  0.1320580456808638E-06
  0.1150000000000000E+02  0.0000000000000000E+00  0.1240717925910438E-06
  0.1155000000000000E+02  0.0000000000000000E+00  0.1165490832034729E-06
  0.1160000000000000E+02  0.0000000000000000E+00  0.1094641172264544E-06
  0.1165000000000000E+02  0.0000000000000000E+00  0.1027924736909911E-06
  0.1170000000000000E+02  0.0000000000000000E+00  0.9651103969953868E-07
  0.1175000000000000E+02  0.0000000000000000E+00  0.9059794277224637E-07
  0.1180000000000000E+02  0.0000000000000000E+00  0.8503248661044545E-07
  0.1185000000000000E+02  0.0000000000000000E+00  0.7979509010619833E-07
  0.1190000000000000E+02  0.0000000000000000E+00  0.7486722943531300E-07
  0.1195000000000000E+02  0.0000000000000000E+00  0.7023138307939945E-07
  0.1200000000000000E+02  0.0000000000000000E+00  0.6587097963030060E-07
  0.1205000000000000E+02  0.0000000000000000E+00  0.6177034823760591E-07
  0.1210000000000000E+02  0.0000000000000000E+00  0.5791467156695280E-07
  0.1215000000000000E+02  0.0000000000000000E+00  0.5428994114347075E-07
  0.1220000000000000E+02  0.0000000000000000E+00  0.5088291496103802E-07
  0.1225000000000000E+02  0.0000000000000000E+00  0.4768107724401159E-07
  0.1230000000000000E+02  0.0000000000000000E+00  0.4467260025378627E-07
  0.1235000000000000E+02  0.0000000000000000E+00  0.4184630803793903E-07
  0.1240000000000000E+02  0.0000000000000000E+00  0.3919164202484621E-07
  0.1245000000000000E+02  0.0000000000000000E+00  0.3669862837153018E-07
  0.1250000000000000E+02  0.0000000000000000E+00  0.3435784697711083E-07
  0.1255000000000000E+02  0.0000000000000000E+00  0.3216040207863115E-07
  0.1260000000000000E+02  0.0000000000000000E+00  0.3009789435018252E-07
  0.1265000000000000E+02  0.0000000000000000E+00  0.2816239443021430E-07
  0.1270000000000000E+02  0.0000000000000000E+00  0.2634641780566268E-07
  0.1275000000000000E+02  0.0000000000000000E+00  0.2464290098509137E-07
  0.1280000000000000E+02  0.0000000000000000E+00  0.2304517889642305E-07
  0.1285000000000000E+02  0.0000000000000000E+00  0.2154696344804431E-07
  0.1290000000000000E+02  0.0000000000000000E+00  0.2014232319511563E-07
  0.1295000000000000E+02  0.0000000000000000E+00  0.1882566405580798E-07
  0.1300000000000000E+02  0.0000000000000000E+00  0.1759171102493397E-07
  0.1305000000000000E+02  0.0000000000000000E+00  0.1643549083504649E-07
  0.1310000000000000E+02  0.0000000000000000E+00  0.1535231551755327E-07
  0.1315000000000000E+02  0.0000000000000000E+00  0.1433776681874506E-07
  0.1320000000000000E+02  0.0000000000000000E+00  0.1338768142786669E-07
  0.1325000000000000E+02  0.0000000000000000E+00  0.1249813697647839E-07
  0.1330000000000000E+02  0.0000000000000000E+00  0.1166543877036914E-07
  0.1335000000000000E+02  0.0000000000000000E+00  0.1088610721719340E-07
  0.1340000000000000E+02  0.0000000000000000E+00  0.1015686591482020E-07
  0.1345000000000000E+02  0.0000000000000000E+00  0.9474630367108083E-08
  0.1350000000000000E+02  0.0000000000000000E+00  0.8836497295459073E-08
  0.1355000000000000E+02  0.0000000000000000E+00  0.8239734516062009E-08
  0.1360000000000000E+02  0.0000000000000000E+00  0.7681771354216970E-08
  0.1365000000000000E+02  0.0000000000000000E+00  0.7160189568538523E-08
  0.1370000000000000E+02  0.0000000000000000E+00  0.6672714759173922E-08
  0.1375000000000000E+02  0.0000000000000000E+00  0.6217208235443045E-08
  0.1380000000000000E+02  0.0000000000000000E+00  0.5791659319516975E-08
  0.1385000000000000E+02  0.0000000000000000E+00  0.5394178063900141E-08
  0.1390000000000000E+02  0.0000000000000000E+00  0.5022988361575552E-08
  0.1395000000000000E+02  0.0000000000000000E+00  0.4676421428711606E-08
  0.1400000000000000E+02  0.0000000000000000E+00  0.4352909640817921E-08
  0.1405000000000000E+02  0.0000000000000000E+00  0.4050980704178833E-08
  0.1410000000000000E+02  0.0000000000000000E+00  0.3769252145287664E-08
  0.1415000000000000E+02  0.0000000000000000E+00  0.3506426101856832E-08
  0.1420000000000000E+02  0.0000000000000000E+00  0.3261284399789058E-08
  0.1425000000000000E+02  0.0000000000000000E+00  0.3032683901265784E-08
  0.1430000000000000E+02  0.0000000000000000E+00  0.2819552109843017E-08
  0.1435000000000000E+02  0.0000000000000000E+00  0.2620883019142994E-08
  0.1440000000000000E+02  0.0000000000000000E+00  0.2435733192394919E-08
  0.1445000000000000E+02  0.0000000000000000E+00  0.2263218060710828E-08
  0.1450000000000000E+02  0.0000000000000000E+00  0.2102508428584548E-08
  0.1455000000000000E+02  0.0000000000000000E+00  0.1952827175675737E-08
  0.1460000000000000E+02  0.0000000000000000E+00  0.1813446144486095E-08
  0.1465000000000000E+02  0.0000000000000000E+00  0.1683683204054987E-08
  0.1470000000000000E+02  0.0000000000000000E+00  0.1562899480296092E-08
  0.1475000000000000E+02  0.0000000000000000E+00  0.1450496744067744E-08
  0.1480000000000000E+02  0.0000000000000000E+00  0.1345914948517974E-08
  0.1485000000000000E+02  0.0000000000000000E+00  0.1248629907672002E-08
  0.1490000000000000E+02  0.0000000000000000E+00  0.1158151108636309E-08
  0.1495000000000000E+02  0.0000000000000000E+00  0.1074019650180291E-08
  0.1500000000000000E+02  0.0000000000000000E+00  0.9958063008244780E-09
  0.1505000000000000E+02  0.0000000000000000E+00  0.9231096699150843E-09
  0.1510000000000000E+02  0.0000000000000000E+00  0.8555544854979616E-09
  0.1515000000000000E+02  0.0000000000000000E+00  0.7927899731227620E-09
