     #eta_rho                    eta_z                 varrho1                 varrho2
  0.0000000000000000E+00 -0.4800000000000000E+02  0.1123385184576147E-10  0.3644501871274998E-11
  0.0000000000000000E+00 -0.4200000000000000E+02  0.3305920391480271E-10  0.1063164396969912E-10
  0.0000000000000000E+00 -0.3600000000000000E+02  0.1136062933761346E-09  0.3608017175691723E-10
  0.0000000000000000E+00 -0.3000000000000000E+02  0.4906009183787562E-09  0.1519691473507016E-09
  0.0000000000000000E+00 -0.2400000000000000E+02  0.3001336900432575E-08  0.8898881019561296E-09
  0.0000000000000000E+00 -0.2200000000000000E+02  0.6065853190152080E-08  0.1758579932358907E-08
  0.0000000000000000E+00 -0.2000000000000000E+02  0.1311480533747541E-07  0.3690110720715945E-08
  0.0000000000000000E+00 -0.1800000000000000E+02  0.3087267345726025E-07  0.8355168692965435E-08
  0.0000000000000000E+00 -0.1600000000000000E+02  0.8059841301877853E-07  0.2076579921910579E-07
  0.0000000000000000E+00 -0.1400000000000000E+02  0.2383095395053009E-06  0.5760386009850352E-07
  0.0000000000000000E+00 -0.1200000000000000E+02  0.8239697705529676E-06  0.1831232459829615E-06
  0.0000000000000000E+00 -0.1000000000000000E+02  0.3461110304313098E-05  0.6981481367222322E-06
  0.0000000000000000E+00 -0.8000000000000000E+01  0.1817727387064172E-04  0.3387564788796946E-05
  0.0000000000000000E+00 -0.7533333333333000E+01  0.2769315352082909E-04  0.5113197304760160E-05
  0.0000000000000000E+00 -0.7066666666667000E+01  0.4272177014766258E-04  0.7869018170452660E-05
  0.0000000000000000E+00 -0.6600000000000000E+01  0.6667635991626890E-04  0.1236968643057629E-04
  0.0000000000000000E+00 -0.6133333333333000E+01  0.1051227202473725E-03  0.1989894513080342E-04
  0.0000000000000000E+00 -0.5666666666667000E+01  0.1670672020766476E-03  0.3282188872282885E-04
  0.0000000000000000E+00 -0.5200000000000000E+01  0.2668743924444834E-03  0.5561715961621497E-04
  0.0000000000000000E+00 -0.4733333333333000E+01  0.4269100385753315E-03  0.9702893438282229E-04
  0.0000000000000000E+00 -0.4266666666667000E+01  0.6806879368114012E-03  0.1746936727918601E-03
  0.0000000000000000E+00 -0.3800000000000000E+01  0.1075485964003149E-02  0.3252385099496992E-03
  0.0000000000000000E+00 -0.3333333333333000E+01  0.1671828295361434E-02  0.6261167594858924E-03
  0.0000000000000000E+00 -0.2866666666667000E+01  0.2535066490654755E-02  0.1241322957902765E-02
  0.0000000000000000E+00 -0.2400000000000000E+01  0.3713007189579452E-02  0.2511025587302115E-02
  0.0000000000000000E+00 -0.1933333333333000E+01  0.5196624329138932E-02  0.5093415425248857E-02
  0.0000000000000000E+00 -0.1466666666667000E+01  0.6872501299933694E-02  0.1001865903806934E-01
  0.0000000000000000E+00 -0.1000000000000000E+01  0.8496188535104192E-02  0.1871969679039033E-01
  0.0000000000000000E+00 -0.9502149898759999E+00  0.8652651627084762E-02  0.2021428520472028E-01
  0.0000000000000000E+00 -0.9006665724530000E+00  0.8803525500090892E-02  0.2208482774774427E-01
  0.0000000000000000E+00 -0.8513653764619999E+00  0.8948427872232151E-02  0.2465259543846350E-01
  0.0000000000000000E+00 -0.8023230921330000E+00  0.9086997721060735E-02  0.2857643071095017E-01
  0.0000000000000000E+00 -0.7535526420790000E+00  0.9218897912900779E-02  0.3519265610817275E-01
  0.0000000000000000E+00 -0.7050683913569999E+00  0.9343817714820776E-02  0.4713770774312302E-01
  0.0000000000000000E+00 -0.6568864087430000E+00  0.9461475179726859E-02  0.6943353969910884E-01
  0.0000000000000000E+00 -0.6090247959310000E+00  0.9571619403546361E-02  0.1114044321707420E+00
  0.0000000000000000E+00 -0.5615041084640000E+00  0.9674032663775475E-02  0.1904098948157273E+00
  0.0000000000000000E+00 -0.5143479030270000E+00  0.9768532461866299E-02  0.3397436585740146E+00
  0.0000000000000000E+00 -0.4675834627770000E+00  0.9854973509234219E-02  0.6245076089581336E+00
  0.0000000000000000E+00 -0.4212427802450000E+00  0.9933249720214959E-02  0.1167122741560311E+01
  0.0000000000000000E+00 -0.3753639244250000E+00  0.1000329630959539E-01  0.2169003704586739E+01
  0.0000000000000000E+00 -0.3299930022210000E+00  0.1006509214488001E-01  0.3872653994813225E+01
  0.0000000000000000E+00 -0.2851870806420000E+00  0.1011866258982611E-01  0.6345060249459771E+01
  0.0000000000000000E+00 -0.2410187483340000E+00  0.1016408322744201E-01  0.9004734012974394E+01
  0.0000000000000000E+00 -0.1975836727160000E+00  0.1020148513798606E-01  0.1029484528364367E+02
  0.0000000000000000E+00 -0.1550141460330000E+00  0.1023106300389150E-01  0.8639169359334103E+01
  0.0000000000000000E+00 -0.1135061888960000E+00  0.1025308870557665E-01  0.4667664355519786E+01
  0.0000000000000000E+00 -0.7338362321000000E-01  0.1026793691145240E-01  0.1290916595300279E+01
  0.0000000000000000E+00 -0.3530163775500000E-01  0.1027614303517662E-01  0.1189019377803390E+00
  0.0000000000000000E+00 -0.2000000000000000E-02  0.1027860734185919E-01  0.3239753617681419E-01
  0.0000000000000000E+00 -0.1952380952000000E-02  0.1027860771528066E-01  0.3239745150596380E-01
  0.0000000000000000E+00 -0.1904761905000000E-02  0.1027860807970402E-01  0.3239737297918561E-01
  0.0000000000000000E+00 -0.1857142857000000E-02  0.1027860843512933E-01  0.3239730029632953E-01
  0.0000000000000000E+00 -0.1809523810000000E-02  0.1027860878155651E-01  0.3239723316464634E-01
  0.0000000000000000E+00 -0.1761904762000000E-02  0.1027860911898557E-01  0.3239717129877707E-01
  0.0000000000000000E+00 -0.1714285714000000E-02  0.1027860944741660E-01  0.3239711442076424E-01
  0.0000000000000000E+00 -0.1666666667000000E-02  0.1027860976684945E-01  0.3239706226004811E-01
  0.0000000000000000E+00 -0.1619047619000000E-02  0.1027861007728423E-01  0.3239701455346545E-01
  0.0000000000000000E+00 -0.1571428571000000E-02  0.1027861037872093E-01  0.3239697104525664E-01
  0.0000000000000000E+00 -0.1523809524000000E-02  0.1027861067115952E-01  0.3239693148706348E-01
  0.0000000000000000E+00 -0.1476190476000000E-02  0.1027861095460000E-01  0.3239689563792797E-01
  0.0000000000000000E+00 -0.1428571429000000E-02  0.1027861122904242E-01  0.3239686326429895E-01
  0.0000000000000000E+00 -0.1380952381000000E-02  0.1027861149448669E-01  0.3239683414002681E-01
  0.0000000000000000E+00 -0.1333333333000000E-02  0.1027861175093289E-01  0.3239680804637000E-01
  0.0000000000000000E+00 -0.1285714286000000E-02  0.1027861199838094E-01  0.3239678477199279E-01
  0.0000000000000000E+00 -0.1238095238000000E-02  0.1027861223683093E-01  0.3239676411296571E-01
  0.0000000000000000E+00 -0.1190476190000000E-02  0.1027861246628279E-01  0.3239674587276880E-01
  0.0000000000000000E+00 -0.1142857143000000E-02  0.1027861268673655E-01  0.3239672986229090E-01
  0.0000000000000000E+00 -0.1095238095000000E-02  0.1027861289819221E-01  0.3239671589982990E-01
  0.0000000000000000E+00 -0.1047619048000000E-02  0.1027861310064975E-01  0.3239670381109535E-01
  0.0000000000000000E+00 -0.1000000000000000E-02  0.1027861329410917E-01  0.3239669342920712E-01
  0.0000000000000000E+00 -0.9523809519999999E-03  0.1027861347857051E-01  0.3239668459469769E-01
  0.0000000000000000E+00 -0.9047619050000000E-03  0.1027861365403371E-01  0.3239667715551233E-01
  0.0000000000000000E+00 -0.8571428570000000E-03  0.1027861382049882E-01  0.3239667096700896E-01
  0.0000000000000000E+00 -0.8095238100000001E-03  0.1027861397796578E-01  0.3239666589196005E-01
  0.0000000000000000E+00 -0.7619047620000000E-03  0.1027861412643467E-01  0.3239666180055201E-01
  0.0000000000000000E+00 -0.7142857140000000E-03  0.1027861426590545E-01  0.3239665857038671E-01
  0.0000000000000000E+00 -0.6666666670000000E-03  0.1027861439637811E-01  0.3239665608648141E-01
  0.0000000000000000E+00 -0.6190476190000000E-03  0.1027861451785265E-01  0.3239665424126918E-01
  0.0000000000000000E+00 -0.5714285710000000E-03  0.1027861463032908E-01  0.3239665293459972E-01
  0.0000000000000000E+00 -0.5238095240000000E-03  0.1027861473380738E-01  0.3239665207373971E-01
  0.0000000000000000E+00 -0.4761904760000000E-03  0.1027861482828761E-01  0.3239665157337269E-01
  0.0000000000000000E+00 -0.4285714290000000E-03  0.1027861491376970E-01  0.3239665135560030E-01
  0.0000000000000000E+00 -0.3809523810000000E-03  0.1027861499025366E-01  0.3239665134994173E-01
  0.0000000000000000E+00 -0.3333333330000000E-03  0.1027861505773951E-01  0.3239665149333457E-01
  0.0000000000000000E+00 -0.2857142860000000E-03  0.1027861511622727E-01  0.3239665173013493E-01
  0.0000000000000000E+00 -0.2380952380000000E-03  0.1027861516571690E-01  0.3239665201211760E-01
  0.0000000000000000E+00 -0.1904761900000000E-03  0.1027861520620842E-01  0.3239665229847621E-01
  0.0000000000000000E+00 -0.1428571430000000E-03  0.1027861523770182E-01  0.3239665255582364E-01
  0.0000000000000000E+00 -0.9523809500000000E-04  0.1027861526019712E-01  0.3239665275819181E-01
  0.0000000000000000E+00 -0.4761904800000000E-04  0.1027861527369429E-01  0.3239665288703223E-01
  0.0000000000000000E+00  0.0000000000000000E+00  0.1027861527819333E-01  0.3239665293121563E-01
  0.0000000000000000E+00  0.4761904800000000E-04  0.1027861527369429E-01  0.3239665288703223E-01
  0.0000000000000000E+00  0.9523809500000000E-04  0.1027861526019712E-01  0.3239665275819181E-01
  0.0000000000000000E+00  0.1428571430000000E-03  0.1027861523770182E-01  0.3239665255582364E-01
  0.0000000000000000E+00  0.1904761900000000E-03  0.1027861520620842E-01  0.3239665229847621E-01
  0.0000000000000000E+00  0.2380952380000000E-03  0.1027861516571690E-01  0.3239665201211760E-01
  0.0000000000000000E+00  0.2857142860000000E-03  0.1027861511622727E-01  0.3239665173013493E-01
  0.0000000000000000E+00  0.3333333330000000E-03  0.1027861505773951E-01  0.3239665149333457E-01
  0.0000000000000000E+00  0.3809523810000000E-03  0.1027861499025366E-01  0.3239665134994173E-01
  0.0000000000000000E+00  0.4285714290000000E-03  0.1027861491376970E-01  0.3239665135560030E-01
  0.0000000000000000E+00  0.4761904760000000E-03  0.1027861482828761E-01  0.3239665157337269E-01
  0.0000000000000000E+00  0.5238095240000000E-03  0.1027861473380738E-01  0.3239665207373971E-01
  0.0000000000000000E+00  0.5714285710000000E-03  0.1027861463032908E-01  0.3239665293459972E-01
  0.0000000000000000E+00  0.6190476190000000E-03  0.1027861451785265E-01  0.3239665424126918E-01
  0.0000000000000000E+00  0.6666666670000000E-03  0.1027861439637811E-01  0.3239665608648141E-01
  0.0000000000000000E+00  0.7142857140000000E-03  0.1027861426590545E-01  0.3239665857038671E-01
  0.0000000000000000E+00  0.7619047620000000E-03  0.1027861412643467E-01  0.3239666180055201E-01
  0.0000000000000000E+00  0.8095238100000001E-03  0.1027861397796578E-01  0.3239666589196005E-01
  0.0000000000000000E+00  0.8571428570000000E-03  0.1027861382049882E-01  0.3239667096700896E-01
  0.0000000000000000E+00  0.9047619050000000E-03  0.1027861365403371E-01  0.3239667715551233E-01
  0.0000000000000000E+00  0.9523809519999999E-03  0.1027861347857051E-01  0.3239668459469769E-01
  0.0000000000000000E+00  0.1000000000000000E-02  0.1027861329410917E-01  0.3239669342920712E-01
  0.0000000000000000E+00  0.1047619048000000E-02  0.1027861310064975E-01  0.3239670381109535E-01
  0.0000000000000000E+00  0.1095238095000000E-02  0.1027861289819221E-01  0.3239671589982990E-01
  0.0000000000000000E+00  0.1142857143000000E-02  0.1027861268673655E-01  0.3239672986229090E-01
  0.0000000000000000E+00  0.1190476190000000E-02  0.1027861246628279E-01  0.3239674587276880E-01
  0.0000000000000000E+00  0.1238095238000000E-02  0.1027861223683093E-01  0.3239676411296571E-01
  0.0000000000000000E+00  0.1285714286000000E-02  0.1027861199838094E-01  0.3239678477199279E-01
  0.0000000000000000E+00  0.1333333333000000E-02  0.1027861175093289E-01  0.3239680804637000E-01
  0.0000000000000000E+00  0.1380952381000000E-02  0.1027861149448669E-01  0.3239683414002681E-01
  0.0000000000000000E+00  0.1428571429000000E-02  0.1027861122904242E-01  0.3239686326429895E-01
  0.0000000000000000E+00  0.1476190476000000E-02  0.1027861095460000E-01  0.3239689563792797E-01
  0.0000000000000000E+00  0.1523809524000000E-02  0.1027861067115952E-01  0.3239693148706348E-01
  0.0000000000000000E+00  0.1571428571000000E-02  0.1027861037872093E-01  0.3239697104525664E-01
  0.0000000000000000E+00  0.1619047619000000E-02  0.1027861007728423E-01  0.3239701455346545E-01
  0.0000000000000000E+00  0.1666666667000000E-02  0.1027860976684945E-01  0.3239706226004811E-01
  0.0000000000000000E+00  0.1714285714000000E-02  0.1027860944741660E-01  0.3239711442076424E-01
  0.0000000000000000E+00  0.1761904762000000E-02  0.1027860911898557E-01  0.3239717129877707E-01
  0.0000000000000000E+00  0.1809523810000000E-02  0.1027860878155651E-01  0.3239723316464634E-01
  0.0000000000000000E+00  0.1857142857000000E-02  0.1027860843512933E-01  0.3239730029632953E-01
