      #xi_rho                     xi_z                     g1                      g12
  0.0000000000000000E+00 -0.4800000000000000E+02  0.5364141840685681E-14  0.1157941687434804E-13
  0.0000000000000000E+00 -0.4200000000000000E+02  0.1363768948449827E-11  0.2875193156849453E-11
  0.0000000000000000E+00 -0.3600000000000000E+02  0.1600366978542908E-09  0.3314506854324810E-09
  0.0000000000000000E+00 -0.3000000000000000E+02  0.9215046452430436E-08  0.1887976151922436E-07
  0.0000000000000000E+00 -0.2400000000000000E+02  0.3204590966939008E-06  0.6522370902865487E-06
  0.0000000000000000E+00 -0.2200000000000000E+02  0.9557280601878748E-06  0.1939565593048675E-05
  0.0000000000000000E+00 -0.2000000000000000E+02  0.2682375555870264E-05  0.5424579854638884E-05
  0.0000000000000000E+00 -0.1800000000000000E+02  0.6971381025677825E-05  0.1404634433179344E-04
  0.0000000000000000E+00 -0.1600000000000000E+02  0.1663319397767754E-04  0.3340059606766779E-04
  0.0000000000000000E+00 -0.1400000000000000E+02  0.3660901630577403E-04  0.7327461815567802E-04
  0.0000000000000000E+00 -0.1200000000000000E+02  0.7475057064571688E-04  0.1489499014085850E-03
  0.0000000000000000E+00 -0.1000000000000000E+02  0.1378826292113602E-03  0.2728855833894082E-03
  0.0000000000000000E+00 -0.8000000000000000E+01  0.2144384203051341E-03  0.4207095602678026E-03
  0.0000000000000000E+00 -0.7533333333333000E+01  0.2299475010115833E-03  0.4500177360387647E-03
  0.0000000000000000E+00 -0.7066666666667000E+01  0.2428879394260073E-03  0.4740010289758223E-03
  0.0000000000000000E+00 -0.6600000000000000E+01  0.2522497211664449E-03  0.4906680943453930E-03
  0.0000000000000000E+00 -0.6133333333333000E+01  0.2569037611630965E-03  0.4978593785861521E-03
  0.0000000000000000E+00 -0.5666666666667000E+01  0.2556645250710037E-03  0.4934086826879538E-03
  0.0000000000000000E+00 -0.5200000000000000E+01  0.2474667246072930E-03  0.4754888793898080E-03
  0.0000000000000000E+00 -0.4733333333333000E+01  0.2316694437238707E-03  0.4431288190345772E-03
  0.0000000000000000E+00 -0.4266666666667000E+01  0.2083988800701982E-03  0.3967506959576402E-03
  0.0000000000000000E+00 -0.3800000000000000E+01  0.1787434941202999E-03  0.3385236292479358E-03
  0.0000000000000000E+00 -0.3333333333333000E+01  0.1447519127672087E-03  0.2728073980334046E-03
  0.0000000000000000E+00 -0.2866666666667000E+01  0.1103677423261901E-03  0.2101703895683020E-03
  0.0000000000000000E+00 -0.2400000000000000E+01  0.9304812881372384E-04  0.2001793185807529E-03
  0.0000000000000000E+00 -0.1933333333333000E+01  0.2376535671456973E-03  0.5686692555662831E-03
  0.0000000000000000E+00 -0.1466666666667000E+01  0.1963076675341624E-02  0.3426438038483404E-02
  0.0000000000000000E+00 -0.1000000000000000E+01  0.2005170282942719E-01  0.2015181155225739E-01
  0.0000000000000000E+00 -0.9502149898759999E+00  0.2581148031658814E-01  0.2404503728445307E-01
  0.0000000000000000E+00 -0.9006665724530000E+00  0.3321828497917535E-01  0.2857221591138984E-01
  0.0000000000000000E+00 -0.8513653764619999E+00  0.4274216967507475E-01  0.3380217409494700E-01
  0.0000000000000000E+00 -0.8023230921330000E+00  0.5498846652427643E-01  0.3980080552118190E-01
  0.0000000000000000E+00 -0.7535526420790000E+00  0.7073689136263295E-01  0.4662702838762910E-01
  0.0000000000000000E+00 -0.7050683913569999E+00  0.9099081460196973E-01  0.5432767302169855E-01
