      #xi_rho                     xi_z                    rho1                    rho2
  0.0000000000000000E+00 -0.4800000000000000E+02  0.0000000000000000E+00  0.5345563861080149E-14
  0.0000000000000000E+00 -0.4200000000000000E+02  0.0000000000000000E+00  0.1360247655518393E-11
  0.0000000000000000E+00 -0.3600000000000000E+02  0.0000000000000000E+00  0.1597451292275028E-09
  0.0000000000000000E+00 -0.3000000000000000E+02  0.0000000000000000E+00  0.9203669514583963E-08
  0.0000000000000000E+00 -0.2400000000000000E+02  0.0000000000000000E+00  0.3201982117184500E-06
  0.0000000000000000E+00 -0.2200000000000000E+02  0.0000000000000000E+00  0.9550768506186282E-06
  0.0000000000000000E+00 -0.2000000000000000E+02  0.0000000000000000E+00  0.2680916124073397E-05
  0.0000000000000000E+00 -0.1800000000000000E+02  0.0000000000000000E+00  0.6968539169369603E-05
  0.0000000000000000E+00 -0.1600000000000000E+02  0.0000000000000000E+00  0.1662848646194924E-04
  0.0000000000000000E+00 -0.1400000000000000E+02  0.0000000000000000E+00  0.3660253775819236E-04
  0.0000000000000000E+00 -0.1200000000000000E+02  0.0000000000000000E+00  0.7474455070933523E-04
  0.0000000000000000E+00 -0.1000000000000000E+02  0.0000000000000000E+00  0.1378858439417084E-03
  0.0000000000000000E+00 -0.8000000000000000E+01  0.0000000000000000E+00  0.2144666310433225E-03
  0.0000000000000000E+00 -0.7533333333333000E+01  0.0000000000000000E+00  0.2299832974734782E-03
  0.0000000000000000E+00 -0.7066666666667000E+01  0.0000000000000000E+00  0.2429315100360006E-03
  0.0000000000000000E+00 -0.6600000000000000E+01  0.0000000000000000E+00  0.2523009331399433E-03
  0.0000000000000000E+00 -0.6133333333333000E+01  0.0000000000000000E+00  0.2569620700845471E-03
  0.0000000000000000E+00 -0.5666666666667000E+01  0.0000000000000000E+00  0.2557288243097115E-03
  0.0000000000000000E+00 -0.5200000000000000E+01  0.0000000000000000E+00  0.2475351641716781E-03
  0.0000000000000000E+00 -0.4733333333333000E+01  0.0000000000000000E+00  0.2317393322334402E-03
  0.0000000000000000E+00 -0.4266666666667000E+01  0.0000000000000000E+00  0.2084668336373428E-03
  0.0000000000000000E+00 -0.3800000000000000E+01  0.0000000000000000E+00  0.1788058979248753E-03
