      #xi_rho                     xi_z                    rho1                    rho2
  0.0000000000000000E+00 -0.4800000000000000E+02  0.0000000000000000E+00  0.5079663468398690E-32
  0.0000000000000000E+00 -0.4200000000000000E+02  0.0000000000000000E+00  0.8773521843022032E-26
  0.0000000000000000E+00 -0.3600000000000000E+02  0.0000000000000000E+00  0.2163177645171617E-20
  0.0000000000000000E+00 -0.3000000000000000E+02  0.0000000000000000E+00  0.9074877278037902E-16
  0.0000000000000000E+00 -0.2400000000000000E+02  0.0000000000000000E+00  0.1056983559512780E-11
  0.0000000000000000E+00 -0.2200000000000000E+02  0.0000000000000000E+00  0.1857028042717251E-10
  0.0000000000000000E+00 -0.2000000000000000E+02  0.0000000000000000E+00  0.2750094824756790E-09
  0.0000000000000000E+00 -0.1800000000000000E+02  0.0000000000000000E+00  0.3350459256122552E-08
  0.0000000000000000E+00 -0.1600000000000000E+02  0.0000000000000000E+00  0.3347191530063527E-07
  0.0000000000000000E+00 -0.1400000000000000E+02  0.0000000000000000E+00  0.2792513697302329E-06
  0.0000000000000000E+00 -0.1200000000000000E+02  0.0000000000000000E+00  0.1985250577679500E-05
  0.0000000000000000E+00 -0.1000000000000000E+02  0.0000000000000000E+00  0.1197168117054315E-04
  0.0000000000000000E+00 -0.8000000000000000E+01  0.0000000000000000E+00  0.6093438027043705E-04
  0.0000000000000000E+00 -0.7533333333333000E+01  0.0000000000000000E+00  0.8733575405406786E-04
  0.0000000000000000E+00 -0.7066666666667000E+01  0.0000000000000000E+00  0.1244357524017832E-03
  0.0000000000000000E+00 -0.6600000000000000E+01  0.0000000000000000E+00  0.1762093905202145E-03
  0.0000000000000000E+00 -0.6133333333333000E+01  0.0000000000000000E+00  0.2476817430345927E-03
  0.0000000000000000E+00 -0.5666666666667000E+01  0.0000000000000000E+00  0.3447657073295763E-03
  0.0000000000000000E+00 -0.5200000000000000E+01  0.0000000000000000E+00  0.4737980036738828E-03
  0.0000000000000000E+00 -0.4733333333333000E+01  0.0000000000000000E+00  0.6408442253353471E-03
  0.0000000000000000E+00 -0.4266666666667000E+01  0.0000000000000000E+00  0.8509083577153965E-03
  0.0000000000000000E+00 -0.3800000000000000E+01  0.0000000000000000E+00  0.1106639246942573E-02
  0.0000000000000000E+00 -0.3333333333333000E+01  0.0000000000000000E+00  0.1404617774509181E-02
  0.0000000000000000E+00 -0.2866666666667000E+01  0.0000000000000000E+00  0.1727716371030480E-02
