      #xi_rho                     xi_z                     g1                      g12
  0.0000000000000000E+00 -0.4800000000000000E+02  0.5127461580460858E-32  0.1361908815475760E-31
  0.0000000000000000E+00 -0.4200000000000000E+02  0.8835928884152615E-26  0.2186107120627460E-25
  0.0000000000000000E+00 -0.3600000000000000E+02  0.2174344552820739E-20  0.5092441200597429E-20
  0.0000000000000000E+00 -0.3000000000000000E+02  0.9107962078525597E-16  0.2088240152671429E-15
  0.0000000000000000E+00 -0.2400000000000000E+02  0.1059654954100402E-11  0.2446805195665254E-11
  0.0000000000000000E+00 -0.2200000000000000E+02  0.1861046173397301E-10  0.4254122184289152E-10
  0.0000000000000000E+00 -0.2000000000000000E+02  0.2755044744515098E-09  0.6189170172589254E-09
  0.0000000000000000E+00 -0.1800000000000000E+02  0.3355333197258994E-08  0.7387584308646306E-08
  0.0000000000000000E+00 -0.1600000000000000E+02  0.3351029489421494E-07  0.7243347535990842E-07
  0.0000000000000000E+00 -0.1400000000000000E+02  0.2794976659049363E-06  0.5952020301060033E-06
  0.0000000000000000E+00 -0.1200000000000000E+02  0.1986538083935417E-05  0.4174860861034253E-05
  0.0000000000000000E+00 -0.1000000000000000E+02  0.1197687038125186E-04  0.2483292397938693E-04
  0.0000000000000000E+00 -0.8000000000000000E+01  0.6094972933262551E-04  0.1249624053323444E-03
  0.0000000000000000E+00 -0.7533333333333000E+01  0.8735459706453340E-04  0.1786509842148278E-03
  0.0000000000000000E+00 -0.7066666666667000E+01  0.1244582554986438E-03  0.2537887422270217E-03
  0.0000000000000000E+00 -0.6600000000000000E+01  0.1762351292856024E-03  0.3580588488434661E-03
  0.0000000000000000E+00 -0.6133333333333000E+01  0.2477090999737644E-03  0.5009671002304559E-03
  0.0000000000000000E+00 -0.5666666666667000E+01  0.3447910493089932E-03  0.6934409897372527E-03
  0.0000000000000000E+00 -0.5200000000000000E+01  0.4738148300464396E-03  0.9469012508452082E-03
  0.0000000000000000E+00 -0.4733333333333000E+01  0.6408425934887994E-03  0.1271878513677466E-02
  0.0000000000000000E+00 -0.4266666666667000E+01  0.8508746883211352E-03  0.1676091516982618E-02
  0.0000000000000000E+00 -0.3800000000000000E+01  0.1106556006706977E-02  0.2160737378858415E-02
  0.0000000000000000E+00 -0.3333333333333000E+01  0.1404462611605167E-02  0.2712260980515065E-02
  0.0000000000000000E+00 -0.2866666666667000E+01  0.1727463961173859E-02  0.3291407271457604E-02
  0.0000000000000000E+00 -0.2400000000000000E+01  0.2047884325879763E-02  0.3851232590368201E-02
  0.0000000000000000E+00 -0.1933333333333000E+01  0.2447535186939584E-02  0.4564588173968342E-02
  0.0000000000000000E+00 -0.1466666666667000E+01  0.4254701443141645E-02  0.7312370858635275E-02
  0.0000000000000000E+00 -0.1000000000000000E+01  0.2207689123138702E-01  0.2315934155991585E-01
  0.0000000000000000E+00 -0.9502149898759999E+00  0.2777292453867216E-01  0.2690304305411908E-01
  0.0000000000000000E+00 -0.9006665724530000E+00  0.3510696402993599E-01  0.3127103580496435E-01
  0.0000000000000000E+00 -0.8513653764619999E+00  0.4454896822792445E-01  0.3633237448679429E-01
  0.0000000000000000E+00 -0.8023230921330000E+00  0.5670361289119225E-01  0.4215287721251534E-01
  0.0000000000000000E+00 -0.7535526420790000E+00  0.7234806422009198E-01  0.4879108388988022E-01
  0.0000000000000000E+00 -0.7050683913569999E+00  0.9248027192032492E-01  0.5629339098602715E-01
  0.0000000000000000E+00 -0.6568864087430000E+00  0.1183817974970058E+00  0.6468835564363740E-01
  0.0000000000000000E+00 -0.6090247959310000E+00  0.1517005438497752E+00  0.7398000104577986E-01
  0.0000000000000000E+00 -0.5615041084640000E+00  0.1945583759755885E+00  0.8413965066534183E-01
  0.0000000000000000E+00 -0.5143479030270000E+00  0.2496853586994841E+00  0.9509553103951134E-01
  0.0000000000000000E+00 -0.4675834627770000E+00  0.3205795757844156E+00  0.1067195767995159E+00
  0.0000000000000000E+00 -0.4212427802450000E+00  0.4116996504599919E+00  0.1188123183109985E+00
  0.0000000000000000E+00 -0.3753639244250000E+00  0.5287195435300787E+00  0.1310899968932671E+00
  0.0000000000000000E+00 -0.3299930022210000E+00  0.6788719144985231E+00  0.1431819377588197E+00
  0.0000000000000000E+00 -0.2851870806420000E+00  0.8713105862205657E+00  0.1546455061193542E+00
  0.0000000000000000E+00 -0.2410187483340000E+00  0.1117347533524675E+01  0.1649931632792737E+00
  0.0000000000000000E+00 -0.1975836727160000E+00  0.1430678451200508E+01  0.1737044656556842E+00
  0.0000000000000000E+00 -0.1550141460330000E+00  0.1827638760735145E+01  0.1802062329127857E+00
  0.0000000000000000E+00 -0.1135061888960000E+00  0.2326387973169830E+01  0.1839586402433137E+00
  0.0000000000000000E+00 -0.7338362321000000E-01  0.2944750432391591E+01  0.1848288942675678E+00
  0.0000000000000000E+00 -0.3530163775500000E-01  0.3690169397685837E+01  0.1825972245413844E+00
  0.0000000000000000E+00 -0.2000000000000000E-02  0.4484675224867638E+01  0.1801755977414235E+00
  0.0000000000000000E+00 -0.1952380952000000E-02  0.4485464316440999E+01  0.1801750952800440E+00
  0.0000000000000000E+00 -0.1904761905000000E-02  0.4486238609610368E+01  0.1801746048771661E+00
  0.0000000000000000E+00 -0.1857142857000000E-02  0.4486997831299024E+01  0.1801741265363490E+00
  0.0000000000000000E+00 -0.1809523810000000E-02  0.4487741711054494E+01  0.1801736602611087E+00
  0.0000000000000000E+00 -0.1761904762000000E-02  0.4488469981428330E+01  0.1801732060548304E+00
  0.0000000000000000E+00 -0.1714285714000000E-02  0.4489182378117928E+01  0.1801727639208424E+00
  0.0000000000000000E+00 -0.1666666667000000E-02  0.4489878640265836E+01  0.1801723338623834E+00
  0.0000000000000000E+00 -0.1619047619000000E-02  0.4490558510752213E+01  0.1801719158825758E+00
  0.0000000000000000E+00 -0.1571428571000000E-02  0.4491221736355389E+01  0.1801715099844851E+00
  0.0000000000000000E+00 -0.1523809524000000E-02  0.4491868068043928E+01  0.1801711161710830E+00
  0.0000000000000000E+00 -0.1476190476000000E-02  0.4492497261260126E+01  0.1801707344452310E+00
  0.0000000000000000E+00 -0.1428571429000000E-02  0.4493109076067550E+01  0.1801703648097358E+00
  0.0000000000000000E+00 -0.1380952381000000E-02  0.4493703277495604E+01  0.1801700072672824E+00
  0.0000000000000000E+00 -0.1333333333000000E-02  0.4494279635684037E+01  0.1801696618204907E+00
  0.0000000000000000E+00 -0.1285714286000000E-02  0.4494837926155037E+01  0.1801693284718937E+00
  0.0000000000000000E+00 -0.1238095238000000E-02  0.4495377930074455E+01  0.1801690072239122E+00
  0.0000000000000000E+00 -0.1190476190000000E-02  0.4495899434404781E+01  0.1801686980789038E+00
