     #eta_rho                    eta_z                 varrho1                 varrho2
  0.0000000000000000E+00 -0.4800000000000000E+02  0.1121001915961996E-10  0.3635237065555426E-11
  0.0000000000000000E+00 -0.4200000000000000E+02  0.3275962568428005E-10  0.1052436212028157E-10
  0.0000000000000000E+00 -0.3600000000000000E+02  0.1137248879179302E-09  0.3604447122917288E-10
  0.0000000000000000E+00 -0.3000000000000000E+02  0.4935312905073432E-09  0.1527019772880542E-09
  0.0000000000000000E+00 -0.2400000000000000E+02  0.2989943547559883E-08  0.8825834834469089E-09
  0.0000000000000000E+00 -0.2200000000000000E+02  0.6065122208245577E-08  0.1749766433883725E-08
  0.0000000000000000E+00 -0.2000000000000000E+02  0.1316770731904577E-07  0.3688663159299029E-08
  0.0000000000000000E+00 -0.1800000000000000E+02  0.3102601637561848E-07  0.8357252950556685E-08
  0.0000000000000000E+00 -0.1600000000000000E+02  0.8095830318727355E-07  0.2071609308506977E-07
  0.0000000000000000E+00 -0.1400000000000000E+02  0.2399559876661270E-06  0.5745174264811114E-07
  0.0000000000000000E+00 -0.1200000000000000E+02  0.8330218814971533E-06  0.1828644313343424E-06
  0.0000000000000000E+00 -0.1000000000000000E+02  0.3507576340852430E-05  0.6965417828255112E-06
  0.0000000000000000E+00 -0.8000000000000000E+01  0.1846365157686236E-04  0.3381850749770671E-05
  0.0000000000000000E+00 -0.7533333333333000E+01  0.2813363876904661E-04  0.5106120750124823E-05
  0.0000000000000000E+00 -0.7066666666667000E+01  0.4338722280030334E-04  0.7859326871307515E-05
  0.0000000000000000E+00 -0.6600000000000000E+01  0.6764711470229353E-04  0.1235391441054397E-04
  0.0000000000000000E+00 -0.6133333333333000E+01  0.1064508278069425E-03  0.1987052226651048E-04
  0.0000000000000000E+00 -0.5666666666667000E+01  0.1686672934716909E-03  0.3277389235728927E-04
  0.0000000000000000E+00 -0.5200000000000000E+01  0.2682621761837689E-03  0.5555469347652035E-04
  0.0000000000000000E+00 -0.4733333333333000E+01  0.4266619333698334E-03  0.9699168108855896E-04
  0.0000000000000000E+00 -0.4266666666667000E+01  0.6754840583191454E-03  0.1747607694155543E-03
  0.0000000000000000E+00 -0.3800000000000000E+01  0.1058711685511367E-02  0.3254683200464265E-03
  0.0000000000000000E+00 -0.3333333333333000E+01  0.1632123757574301E-02  0.6265846513927224E-03
  0.0000000000000000E+00 -0.2866666666667000E+01  0.2456380953632997E-02  0.1243213617543397E-02
  0.0000000000000000E+00 -0.2400000000000000E+01  0.3580364319369788E-02  0.2521935964912052E-02
  0.0000000000000000E+00 -0.1933333333333000E+01  0.5014143471682573E-02  0.5165239881734622E-02
  0.0000000000000000E+00 -0.1466666666667000E+01  0.6690884026008963E-02  0.1067670381214781E-01
  0.0000000000000000E+00 -0.1000000000000000E+01  0.8413728183735959E-02  0.3018209082693595E-01
  0.0000000000000000E+00 -0.9502149898759999E+00  0.8586544824985493E-02  0.3637886558263706E-01
  0.0000000000000000E+00 -0.9006665724530000E+00  0.8754491738884321E-02  0.4491351642117904E-01
  0.0000000000000000E+00 -0.8513653764619999E+00  0.8917035944692687E-02  0.5686635802999319E-01
