     #eta_rho                    eta_z                     f1                      f12
  0.0000000000000000E+00 -0.4800000000000000E+02  0.1222161673791342E-09  0.7501824263079108E-11
  0.0000000000000000E+00 -0.4200000000000000E+02  0.3511131915680680E-09  0.2193911444364212E-10
  0.0000000000000000E+00 -0.3600000000000000E+02  0.1182175610453254E-08  0.7472227050039479E-10
  0.0000000000000000E+00 -0.3000000000000000E+02  0.4958472312796144E-08  0.3171398798610509E-09
  0.0000000000000000E+00 -0.2400000000000000E+02  0.2806464909910309E-07  0.1876487848308383E-08
  0.0000000000000000E+00 -0.2200000000000000E+02  0.5477284370535539E-07  0.3725950528203679E-08
  0.0000000000000000E+00 -0.2000000000000000E+02  0.1133172776835683E-06  0.7869911071374278E-08
  0.0000000000000000E+00 -0.1800000000000000E+02  0.2507684090441118E-06  0.1798018336000509E-07
  0.0000000000000000E+00 -0.1600000000000000E+02  0.5996085127783501E-06  0.4522983547841228E-07
  0.0000000000000000E+00 -0.1400000000000000E+02  0.1568152485802341E-05  0.1276122670190364E-06
  0.0000000000000000E+00 -0.1200000000000000E+02  0.4550228928564363E-05  0.4161576864357711E-06
  0.0000000000000000E+00 -0.1000000000000000E+02  0.1480562228113578E-04  0.1647892638739411E-05
  0.0000000000000000E+00 -0.8000000000000000E+01  0.5389545335235349E-04  0.8378498222849453E-05
  0.0000000000000000E+00 -0.7533333333333000E+01  0.7391498644392269E-04  0.1276804248898010E-04
  0.0000000000000000E+00 -0.7066666666667000E+01  0.1018447628200726E-03  0.1979361701574173E-04
  0.0000000000000000E+00 -0.6600000000000000E+01  0.1409068756444871E-03  0.3122588869755517E-04
  0.0000000000000000E+00 -0.6133333333333000E+01  0.1956181333514861E-03  0.5013082262602755E-04
  0.0000000000000000E+00 -0.5666666666667000E+01  0.2722554535763458E-03  0.8187650123227519E-04
  0.0000000000000000E+00 -0.5200000000000000E+01  0.3794166680463451E-03  0.1359648199924387E-03
  0.0000000000000000E+00 -0.4733333333333000E+01  0.5286016496462033E-03  0.2294155777784157E-03
  0.0000000000000000E+00 -0.4266666666667000E+01  0.7345935590699695E-03  0.3931375324950238E-03
  0.0000000000000000E+00 -0.3800000000000000E+01  0.1015146753649435E-02  0.6841241559404723E-03
  0.0000000000000000E+00 -0.3333333333333000E+01  0.1389081214068295E-02  0.1208938749667143E-02
  0.0000000000000000E+00 -0.2866666666667000E+01  0.1871518970691456E-02  0.2168312899384045E-02
  0.0000000000000000E+00 -0.2400000000000000E+01  0.2465199145436537E-02  0.3935725984224404E-02
  0.0000000000000000E+00 -0.1933333333333000E+01  0.3148320431773891E-02  0.7151600128281812E-02
  0.0000000000000000E+00 -0.1466666666667000E+01  0.3862785653429544E-02  0.1259895737389434E-01
  0.0000000000000000E+00 -0.1000000000000000E+01  0.4512339755443694E-02  0.2002146453822800E-01
  0.0000000000000000E+00 -0.9502149898759999E+00  0.4573023443793053E-02  0.2080069305753091E-01
  0.0000000000000000E+00 -0.9006665724530000E+00  0.4631239403038276E-02  0.2155027484663688E-01
  0.0000000000000000E+00 -0.8513653764619999E+00  0.4686876812120737E-02  0.2227006231606965E-01
  0.0000000000000000E+00 -0.8023230921330000E+00  0.4739833569559092E-02  0.2296587560986250E-01
  0.0000000000000000E+00 -0.7535526420790000E+00  0.4790016921334617E-02  0.2365087672469108E-01
  0.0000000000000000E+00 -0.7050683913569999E+00  0.4837344032565604E-02  0.2434654221003565E-01
  0.0000000000000000E+00 -0.6568864087430000E+00  0.4881742505674040E-02  0.2508319639896214E-01
  0.0000000000000000E+00 -0.6090247959310000E+00  0.4923150851372149E-02  0.2589949319100349E-01
  0.0000000000000000E+00 -0.5615041084640000E+00  0.4961518922904644E-02  0.2683861974470057E-01
  0.0000000000000000E+00 -0.5143479030270000E+00  0.4996808328959490E-02  0.2793686165169053E-01
  0.0000000000000000E+00 -0.4675834627770000E+00  0.5028992846947098E-02  0.2919972325594593E-01
  0.0000000000000000E+00 -0.4212427802450000E+00  0.5058058866734184E-02  0.3056543651038868E-01
  0.0000000000000000E+00 -0.3753639244250000E+00  0.5084005907078840E-02  0.3186727767642750E-01
  0.0000000000000000E+00 -0.3299930022210000E+00  0.5106847265725910E-02  0.3282075276740714E-01
  0.0000000000000000E+00 -0.2851870806420000E+00  0.5126610895154837E-02  0.3306768403319688E-01
  0.0000000000000000E+00 -0.2410187483340000E+00  0.5143340650923698E-02  0.3229218280656920E-01
  0.0000000000000000E+00 -0.1975836727160000E+00  0.5157098164339166E-02  0.3038029847448313E-01
  0.0000000000000000E+00 -0.1550141460330000E+00  0.5167965809525779E-02  0.2754702028611847E-01
  0.0000000000000000E+00 -0.1135061888960000E+00  0.5176051745591143E-02  0.2434136942384437E-01
  0.0000000000000000E+00 -0.7338362321000000E-01  0.5181499423741947E-02  0.2148973913825619E-01
  0.0000000000000000E+00 -0.3530163775500000E-01  0.5184509039108003E-02  0.1962807946202648E-01
  0.0000000000000000E+00 -0.2000000000000000E-02  0.5185412670960142E-02  0.1902509190490071E-01
  0.0000000000000000E+00 -0.1952380952000000E-02  0.5185412807883798E-02  0.1902499892893856E-01
  0.0000000000000000E+00 -0.1904761905000000E-02  0.5185412941508070E-02  0.1902490819288593E-01
  0.0000000000000000E+00 -0.1857142857000000E-02  0.5185413071833002E-02  0.1902481969677415E-01
  0.0000000000000000E+00 -0.1809523810000000E-02  0.5185413198858561E-02  0.1902473344064077E-01
  0.0000000000000000E+00 -0.1761904762000000E-02  0.5185413322584762E-02  0.1902464942451537E-01
  0.0000000000000000E+00 -0.1714285714000000E-02  0.5185413443011595E-02  0.1902456764843216E-01
  0.0000000000000000E+00 -0.1666666667000000E-02  0.5185413560139083E-02  0.1902448811242416E-01
  0.0000000000000000E+00 -0.1619047619000000E-02  0.5185413673967194E-02  0.1902441081651872E-01
  0.0000000000000000E+00 -0.1571428571000000E-02  0.5185413784495944E-02  0.1902433576074717E-01
  0.0000000000000000E+00 -0.1523809524000000E-02  0.5185413891725340E-02  0.1902426294513989E-01
  0.0000000000000000E+00 -0.1476190476000000E-02  0.5185413995655361E-02  0.1902419236972186E-01
  0.0000000000000000E+00 -0.1428571429000000E-02  0.5185414096286015E-02  0.1902412403452310E-01
  0.0000000000000000E+00 -0.1380952381000000E-02  0.5185414193617313E-02  0.1902405793956711E-01
  0.0000000000000000E+00 -0.1333333333000000E-02  0.5185414287649247E-02  0.1902399408488077E-01
  0.0000000000000000E+00 -0.1285714286000000E-02  0.5185414378381816E-02  0.1902393247048985E-01
  0.0000000000000000E+00 -0.1238095238000000E-02  0.5185414465815019E-02  0.1902387309641552E-01
  0.0000000000000000E+00 -0.1190476190000000E-02  0.5185414549948854E-02  0.1902381596268185E-01
  0.0000000000000000E+00 -0.1142857143000000E-02  0.5185414630783328E-02  0.1902376106931194E-01
  0.0000000000000000E+00 -0.1095238095000000E-02  0.5185414708318434E-02  0.1902370841632467E-01
  0.0000000000000000E+00 -0.1047619048000000E-02  0.5185414782554181E-02  0.1902365800374249E-01
  0.0000000000000000E+00 -0.1000000000000000E-02  0.5185414853490566E-02  0.1902360983158268E-01
  0.0000000000000000E+00 -0.9523809519999999E-03  0.5185414921127574E-02  0.1902356389986475E-01
  0.0000000000000000E+00 -0.9047619050000000E-03  0.5185414985465220E-02  0.1902352020860733E-01
  0.0000000000000000E+00 -0.8571428570000000E-03  0.5185415046503502E-02  0.1902347875782539E-01
  0.0000000000000000E+00 -0.8095238100000001E-03  0.5185415104242421E-02  0.1902343954753654E-01
  0.0000000000000000E+00 -0.7619047620000000E-03  0.5185415158681960E-02  0.1902340257775438E-01
  0.0000000000000000E+00 -0.7142857140000000E-03  0.5185415209822146E-02  0.1902336784849384E-01
  0.0000000000000000E+00 -0.6666666670000000E-03  0.5185415257662967E-02  0.1902333535976887E-01
  0.0000000000000000E+00 -0.6190476190000000E-03  0.5185415302204421E-02  0.1902330511159077E-01
