      #xi_rho                     xi_z                    rho1                    rho2
  0.0000000000000000E+00 -0.4800000000000000E+02  0.0000000000000000E+00  0.8888210861338867E-90
  0.0000000000000000E+00 -0.4200000000000000E+02  0.0000000000000000E+00  0.1518204262806848E-72
  0.0000000000000000E+00 -0.3600000000000000E+02  0.0000000000000000E+00  0.1621367186439868E-57
  0.0000000000000000E+00 -0.3000000000000000E+02  0.0000000000000000E+00  0.1105865419467597E-44
  0.0000000000000000E+00 -0.2400000000000000E+02  0.0000000000000000E+00  0.4885060253153316E-34
  0.0000000000000000E+00 -0.2200000000000000E+02  0.0000000000000000E+00  0.5769197256486893E-31
  0.0000000000000000E+00 -0.2000000000000000E+02  0.0000000000000000E+00  0.4035327912431004E-28
  0.0000000000000000E+00 -0.1800000000000000E+02  0.0000000000000000E+00  0.1702265779147255E-25
  0.0000000000000000E+00 -0.1600000000000000E+02  0.0000000000000000E+00  0.4363295472001420E-23
  0.0000000000000000E+00 -0.1400000000000000E+02  0.0000000000000000E+00  0.6711610276714148E-21
  0.0000000000000000E+00 -0.1200000000000000E+02  0.0000000000000000E+00  0.6020090348404402E-19
  0.0000000000000000E+00 -0.1000000000000000E+02  0.0000000000000000E+00  0.3067654540936071E-17
  0.0000000000000000E+00 -0.8000000000000000E+01  0.0000000000000000E+00  0.9150476740994170E-16
  0.0000000000000000E+00 -0.7533333333333000E+01  0.0000000000000000E+00  0.1903762015839172E-15
  0.0000000000000000E+00 -0.7066666666667000E+01  0.0000000000000000E+00  0.3905928391122435E-15
  0.0000000000000000E+00 -0.6600000000000000E+01  0.0000000000000000E+00  0.7944491850638225E-15
  0.0000000000000000E+00 -0.6133333333333000E+01  0.0000000000000000E+00  0.1610503974226202E-14
  0.0000000000000000E+00 -0.5666666666667000E+01  0.0000000000000000E+00  0.3270301780325640E-14
  0.0000000000000000E+00 -0.5200000000000000E+01  0.0000000000000000E+00  0.6681688401991779E-14
  0.0000000000000000E+00 -0.4733333333333000E+01  0.0000000000000000E+00  0.1434733265755963E-13
  0.0000000000000000E+00 -0.4266666666667000E+01  0.0000000000000000E+00  0.9394825522566223E-13
  0.0000000000000000E+00 -0.3800000000000000E+01  0.0000000000000000E+00  0.4780923913774857E-11
  0.0000000000000000E+00 -0.3333333333333000E+01  0.0000000000000000E+00  0.2568158009907931E-09
  0.0000000000000000E+00 -0.2866666666667000E+01  0.0000000000000000E+00  0.1086631941047259E-07
  0.0000000000000000E+00 -0.2400000000000000E+01  0.0000000000000000E+00  0.3638903453190401E-06
  0.0000000000000000E+00 -0.1933333333333000E+01  0.0000000000000000E+00  0.1001394287898712E-04
  0.0000000000000000E+00 -0.1466666666667000E+01  0.0000000000000000E+00  0.2416060558844274E-03
  0.0000000000000000E+00 -0.1000000000000000E+01  0.0000000000000000E+00  0.5845176846957501E-02
  0.0000000000000000E+00 -0.9502149898759999E+00  0.0000000000000000E+00  0.8246529723794943E-02
  0.0000000000000000E+00 -0.9006665724530000E+00  0.0000000000000000E+00  0.1162571083507353E-01
  0.0000000000000000E+00 -0.8513653764619999E+00  0.0000000000000000E+00  0.1637740494563665E-01
  0.0000000000000000E+00 -0.8023230921330000E+00  0.0000000000000000E+00  0.2305500542170504E-01
  0.0000000000000000E+00 -0.7535526420790000E+00  0.0000000000000000E+00  0.3243406699196874E-01
  0.0000000000000000E+00 -0.7050683913569999E+00  0.0000000000000000E+00  0.4559997393560632E-01
  0.0000000000000000E+00 -0.6568864087430000E+00  0.0000000000000000E+00  0.6406829907949062E-01
  0.0000000000000000E+00 -0.6090247959310000E+00  0.0000000000000000E+00  0.8995033109881614E-01
  0.0000000000000000E+00 -0.5615041084640000E+00  0.0000000000000000E+00  0.1261836837481103E+00
  0.0000000000000000E+00 -0.5143479030270000E+00  0.0000000000000000E+00  0.1768589590693125E+00
  0.0000000000000000E+00 -0.4675834627770000E+00  0.0000000000000000E+00  0.2476830621722841E+00
  0.0000000000000000E+00 -0.4212427802450000E+00  0.0000000000000000E+00  0.3466167881032219E+00
  0.0000000000000000E+00 -0.3753639244250000E+00  0.0000000000000000E+00  0.4847054772932468E+00
  0.0000000000000000E+00 -0.3299930022210000E+00  0.0000000000000000E+00  0.6771274449771535E+00
  0.0000000000000000E+00 -0.2851870806420000E+00  0.0000000000000000E+00  0.9446083623637624E+00
  0.0000000000000000E+00 -0.2410187483340000E+00  0.0000000000000000E+00  0.1315492614968297E+01
  0.0000000000000000E+00 -0.1975836727160000E+00  0.0000000000000000E+00  0.1828156988620159E+01
  0.0000000000000000E+00 -0.1550141460330000E+00  0.0000000000000000E+00  0.2532473990605705E+01
  0.0000000000000000E+00 -0.1135061888960000E+00  0.0000000000000000E+00  0.3491280203796174E+01
  0.0000000000000000E+00 -0.7338362321000000E-01  0.0000000000000000E+00  0.4777430494855026E+01
  0.0000000000000000E+00 -0.3530163775500000E-01  0.0000000000000000E+00  0.6452275747854515E+01
  0.0000000000000000E+00 -0.2000000000000000E-02  0.1994679298507888E-23  0.8338014450595274E+01
  0.0000000000000000E+00 -0.1952380952000000E-02  0.5414155557692765E-22  0.8339530359184597E+01
  0.0000000000000000E+00 -0.1904761905000000E-02  0.1364023778652914E-20  0.8341014128609570E+01
  0.0000000000000000E+00 -0.1857142857000000E-02  0.3189799068933675E-19  0.8342465457372057E+01
  0.0000000000000000E+00 -0.1809523810000000E-02  0.6923939051751387E-18  0.8343884048975694E+01
  0.0000000000000000E+00 -0.1761904762000000E-02  0.1394991233078226E-16  0.8345269612327813E+01
