      #xi_rho                     xi_z                     g1                      g12
  0.0000000000000000E+00 -0.4800000000000000E+02  0.6271412445376782E-97  0.2838713839499384E-81
  0.0000000000000000E+00 -0.4200000000000000E+02  0.1248699345620930E-79  0.1682049697432279E-63
  0.0000000000000000E+00 -0.3600000000000000E+02  0.1309727465042728E-64  0.1039666265230285E-48
  0.0000000000000000E+00 -0.3000000000000000E+02  0.8338213988658175E-52  0.4874001424412119E-36
  0.0000000000000000E+00 -0.2400000000000000E+02  0.3471853724485488E-41  0.1616399672946254E-25
  0.0000000000000000E+00 -0.2200000000000000E+02  0.3972128960768288E-38  0.1757452350301673E-22
  0.0000000000000000E+00 -0.2000000000000000E+02  0.2728943429000253E-35  0.1138197881423324E-19
  0.0000000000000000E+00 -0.1800000000000000E+02  0.1167384499273069E-32  0.4463855805196045E-17
  0.0000000000000000E+00 -0.1600000000000000E+02  0.3082876691427386E-30  0.1065519427381786E-14
  0.0000000000000000E+00 -0.1400000000000000E+02  0.4741253472592814E-28  0.1526282930434454E-12
  0.0000000000000000E+00 -0.1200000000000000E+02  0.3981668668234073E-26  0.1274727646184051E-10
  0.0000000000000000E+00 -0.1000000000000000E+02  0.1761418817006294E-24  0.6062880843037475E-09
  0.0000000000000000E+00 -0.8000000000000000E+01  0.4228869457863719E-23  0.1713153249536565E-07
  0.0000000000000000E+00 -0.7533333333333000E+01  0.8253731324222429E-23  0.3536055299492363E-07
  0.0000000000000000E+00 -0.7066666666667000E+01  0.1576977115383690E-22  0.7214136300438397E-07
  0.0000000000000000E+00 -0.6600000000000000E+01  0.2987572383364415E-22  0.1462370929041639E-06
  0.0000000000000000E+00 -0.6133333333333000E+01  0.1840017793931116E-21  0.2960260134681766E-06
  0.0000000000000000E+00 -0.5666666666667000E+01  0.3554292015294730E-19  0.6011129597401364E-06
  0.0000000000000000E+00 -0.5200000000000000E+01  0.6440465890348364E-17  0.1229046932242480E-05
  0.0000000000000000E+00 -0.4733333333333000E+01  0.8009110318857859E-15  0.2537703158659403E-05
  0.0000000000000000E+00 -0.4266666666667000E+01  0.7153130175824972E-13  0.5301526386802869E-05
  0.0000000000000000E+00 -0.3800000000000000E+01  0.4853734279270181E-11  0.1121049884566046E-04
  0.0000000000000000E+00 -0.3333333333333000E+01  0.2590264534195083E-09  0.2395746859778601E-04
  0.0000000000000000E+00 -0.2866666666667000E+01  0.1090290258874312E-07  0.5159615489933478E-04
  0.0000000000000000E+00 -0.2400000000000000E+01  0.3644465835747305E-06  0.1123035210201238E-03
  0.0000000000000000E+00 -0.1933333333333000E+01  0.1002209996856739E-04  0.2622378785910622E-03
  0.0000000000000000E+00 -0.1466666666667000E+01  0.2417193723649996E-03  0.9219563123416836E-03
  0.0000000000000000E+00 -0.1000000000000000E+01  0.5846633655819352E-02  0.7154301866314250E-02
  0.0000000000000000E+00 -0.9502149898759999E+00  0.8248409522531709E-02  0.9140267845132333E-02
  0.0000000000000000E+00 -0.9006665724530000E+00  0.1162811775652149E-01  0.1167169345390809E-01
  0.0000000000000000E+00 -0.8513653764619999E+00  0.1638045920235365E-01  0.1488054191390701E-01
  0.0000000000000000E+00 -0.8023230921330000E+00  0.2305883970542421E-01  0.1892232084920622E-01
  0.0000000000000000E+00 -0.7535526420790000E+00  0.3243881687455409E-01  0.2397661257539773E-01
  0.0000000000000000E+00 -0.7050683913569999E+00  0.4560575784179455E-01  0.3024554295647408E-01
  0.0000000000000000E+00 -0.6568864087430000E+00  0.6407518167611467E-01  0.3794901703364297E-01
  0.0000000000000000E+00 -0.6090247959310000E+00  0.8995826233822030E-01  0.4731528936992659E-01
  0.0000000000000000E+00 -0.5615041084640000E+00  0.1261924034666200E+00  0.5856534700826347E-01
  0.0000000000000000E+00 -0.5143479030270000E+00  0.1768678503967675E+00  0.7188976259646672E-01
  0.0000000000000000E+00 -0.4675834627770000E+00  0.2476909202693195E+00  0.8741710187120554E-01
  0.0000000000000000E+00 -0.4212427802450000E+00  0.3466214430446044E+00  0.1051735311849408E+00
  0.0000000000000000E+00 -0.3753639244250000E+00  0.4847031873887796E+00  0.1250339525242874E+00
  0.0000000000000000E+00 -0.3299930022210000E+00  0.6771119889826600E+00  0.1466654423038981E+00
  0.0000000000000000E+00 -0.2851870806420000E+00  0.9445697819747623E+00  0.1694626695653044E+00
  0.0000000000000000E+00 -0.2410187483340000E+00  0.1315415396782702E+01  0.1924779883637999E+00
  0.0000000000000000E+00 -0.1975836727160000E+00  0.1828017127933001E+01  0.2143867136891203E+00
  0.0000000000000000E+00 -0.1550141460330000E+00  0.2532235042649502E+01  0.2336097451859981E+00
  0.0000000000000000E+00 -0.1135061888960000E+00  0.3490889221426894E+01  0.2485783479769051E+00
  0.0000000000000000E+00 -0.7338362321000000E-01  0.4776813927947115E+01  0.2574325340283287E+00
  0.0000000000000000E+00 -0.3530163775500000E-01  0.6451350210524371E+01  0.2591324098499425E+00
  0.0000000000000000E+00 -0.2000000000000000E-02  0.8337186959724310E+01  0.2583523830555909E+00
  0.0000000000000000E+00 -0.1952380952000000E-02  0.8338704652555807E+01  0.2583521932296938E+00
  0.0000000000000000E+00 -0.1904761905000000E-02  0.8340190174357273E+01  0.2583520079545056E+00
  0.0000000000000000E+00 -0.1857142857000000E-02  0.8341643222885210E+01  0.2583518272317296E+00
  0.0000000000000000E+00 -0.1809523810000000E-02  0.8343063500908151E+01  0.2583516510630451E+00
  0.0000000000000000E+00 -0.1761904762000000E-02  0.8344450716609217E+01  0.2583514794500715E+00
  0.0000000000000000E+00 -0.1714285714000000E-02  0.8345804583531837E+01  0.2583513123943969E+00
  0.0000000000000000E+00 -0.1666666667000000E-02  0.8347124820826672E+01  0.2583511498975695E+00
